"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_edgetpu_224_0.75_float","leopard","0.069","",""
"","","","leopard","0.52602696"
"","","","jaguar","0.30450493"
"","","","snow leopard","0.073098265"
"","","","Egyptian cat","0.016595805"
"","","","cheetah","0.012547964"
"mobilenet_edgetpu_224_0.75_float","leopard","0.05","",""
"","","","cheetah","0.8357549"
"","","","leopard","0.005011457"
"","","","lynx","0.0032730815"
"","","","jaguar","0.0025296067"
"","","","quail","0.002265736"
"mobilenet_edgetpu_224_0.75_float","leopard","0.048","",""
"","","","leopard","0.5633106"
"","","","jaguar","0.3545898"
"","","","cheetah","0.004277018"
"","","","lynx","0.0020880513"
"","","","snow leopard","0.0018804913"
"mobilenet_edgetpu_224_0.75_float","leopard","0.047","",""
"","","","leopard","0.4168201"
"","","","jaguar","0.19217697"
"","","","cheetah","0.17881978"
"","","","honeycomb","0.010538998"
"","","","armadillo","0.0067362897"
"mobilenet_edgetpu_224_0.75_float","leopard","0.044","",""
"","","","leopard","0.7885925"
"","","","jaguar","0.086107105"
"","","","cheetah","0.019907333"
"","","","snow leopard","0.010845329"
"","","","hyena","0.00359396"
"mobilenet_edgetpu_224_0.75_float","leopard","0.043","",""
"","","","leopard","0.44329754"
"","","","cheetah","0.1632316"
"","","","jaguar","0.09297916"
"","","","diamondback","0.016192148"
"","","","snow leopard","0.016110158"
"mobilenet_edgetpu_224_0.75_float","leopard","0.042","",""
"","","","snow leopard","0.9072198"
"","","","leopard","0.025788153"
"","","","cheetah","0.0035775944"
"","","","jaguar","0.0018327627"
"","","","hyena","9.842365E-4"
"mobilenet_edgetpu_224_0.75_float","leopard","0.043","",""
"","","","leopard","0.8350523"
"","","","jaguar","0.034308296"
"","","","cheetah","0.0078008245"
"","","","snow leopard","0.005276847"
"","","","lynx","6.2200206E-4"
"mobilenet_edgetpu_224_0.75_float","leopard","0.043","",""
"","","","cheetah","0.5000271"
"","","","leopard","0.24652284"
"","","","jaguar","0.10450327"
"","","","curly-coated retriever","0.014229382"
"","","","Irish water spaniel","0.012531653"
"mobilenet_edgetpu_224_0.75_float","leopard","0.043","",""
"","","","leopard","0.94165707"
"","","","jaguar","0.026885947"
"","","","cheetah","0.009938996"
"","","","eel","3.9919655E-4"
"","","","snow leopard","3.7183793E-4"
"mobilenet_edgetpu_224_0.75_float","lion","0.042","",""
"","","","lion","0.957612"
"","","","Rhodesian ridgeback","0.0052481736"
"","","","vizsla","0.0051540644"
"","","","cougar","0.0031416572"
"","","","bull mastiff","0.0030120169"
"mobilenet_edgetpu_224_0.75_float","lion","0.043","",""
"","","","lion","0.8740593"
"","","","cheetah","0.027165229"
"","","","cougar","0.009572881"
"","","","dhole","0.009188471"
"","","","coyote","0.0076268804"
"mobilenet_edgetpu_224_0.75_float","lion","0.043","",""
"","","","lion","0.91784954"
"","","","cougar","0.010860252"
"","","","chow","0.0040251343"
"","","","lynx","0.002639377"
"","","","cheetah","0.0021489328"
"mobilenet_edgetpu_224_0.75_float","lion","0.042","",""
"","","","lion","0.88633925"
"","","","cougar","0.020852953"
"","","","tiger","0.0061365217"
"","","","bull mastiff","0.0023672797"
"","","","leopard","0.0015738736"
"mobilenet_edgetpu_224_0.75_float","lion","0.043","",""
"","","","lion","0.87871337"
"","","","cougar","0.035077944"
"","","","Rhodesian ridgeback","0.016858766"
"","","","bull mastiff","0.013341826"
"","","","vizsla","0.0122666275"
"mobilenet_edgetpu_224_0.75_float","lion","0.043","",""
"","","","lion","0.9431719"
"","","","bison","0.0038458882"
"","","","cheetah","0.0024442037"
"","","","chow","0.0023779352"
"","","","dhole","0.0019058373"
"mobilenet_edgetpu_224_0.75_float","lion","0.042","",""
"","","","lion","0.70384073"
"","","","timber wolf","0.036463916"
"","","","macaque","0.03108611"
"","","","Arctic_fox","0.015950914"
"","","","Arabian camel","0.014768527"
"mobilenet_edgetpu_224_0.75_float","lion","0.042","",""
"","","","lion","0.8910085"
"","","","cougar","0.014625936"
"","","","dhole","0.007193822"
"","","","brown bear","0.007136311"
"","","","coyote","0.0024594367"
"mobilenet_edgetpu_224_0.75_float","lion","0.042","",""
"","","","lynx","0.26131952"
"","","","lion","0.16924205"
"","","","standard poodle","0.049398683"
"","","","Arabian camel","0.03489877"
"","","","Lakeland terrier","0.024223715"
"mobilenet_edgetpu_224_0.75_float","lion","0.043","",""
"","","","lion","0.54945433"
"","","","cougar","0.11366445"
"","","","lynx","0.036835358"
"","","","dingo","0.026247568"
"","","","golden retriever","0.016002359"
"mobilenet_edgetpu_224_0.75_float","bee","0.043","",""
"","","","bee","0.56951606"
"","","","fly","0.14072092"
"","","","leafhopper","0.018135795"
"","","","honeycomb","0.016287865"
"","","","ant","0.009203316"
"mobilenet_edgetpu_224_0.75_float","bee","0.043","",""
"","","","honeycomb","0.5736297"
"","","","bee","0.3675097"
"","","","ant","0.014070947"
"","","","long-horned beetle","0.0058317003"
"","","","fly","0.0053457203"
"mobilenet_edgetpu_224_0.75_float","bee","0.043","",""
"","","","bee","0.9300269"
"","","","cardoon","0.021233406"
"","","","fly","0.015086105"
"","","","ant","0.0036812192"
"","","","tick","0.0022793529"
"mobilenet_edgetpu_224_0.75_float","bee","0.043","",""
"","","","bee","0.40905187"
"","","","ladybug","0.062914096"
"","","","leaf beetle","0.04797302"
"","","","sulphur butterfly","0.03607277"
"","","","ant","0.029996837"
"mobilenet_edgetpu_224_0.75_float","bee","0.042","",""
