"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_v1_0.25_128","leopard","0.009","",""
"","","","cheetah","0.9003906"
"","","","leopard","0.049987793"
"","","","jaguar","0.025146484"
"","","","Indian cobra","0.009841919"
"","","","ruffed grouse","0.0037956238"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","snow leopard","0.9921875"
"","","","lynx","0.0021533966"
"","","","leopard","0.0017576218"
"","","","tabby","9.1934204E-4"
"","","","Egyptian cat","5.2785873E-4"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","leopard","0.79345703"
"","","","cheetah","0.12164307"
"","","","jaguar","0.06213379"
"","","","ptarmigan","0.007080078"
"","","","prairie chicken","0.002998352"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","barracouta","0.10119629"
"","","","gar","0.081970215"
"","","","triceratops","0.053527832"
"","","","viaduct","0.03857422"
"","","","starfish","0.032989502"
"mobilenet_v1_0.25_128","leopard","0.001","",""
"","","","jaguar","0.7519531"
"","","","leopard","0.22583008"
"","","","cheetah","0.017959595"
"","","","snow leopard","0.0031967163"
"","","","dalmatian","4.1913986E-4"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","leopard","0.92041016"
"","","","cheetah","0.03982544"
"","","","jaguar","0.038604736"
"","","","lynx","2.1898746E-4"
"","","","ruffed grouse","1.7869473E-4"
"mobilenet_v1_0.25_128","leopard","0.008","",""
"","","","Komodo_dragon","0.47998047"
"","","","boa constrictor","0.09161377"
"","","","common_iguana","0.05557251"
"","","","jaguar","0.054718018"
"","","","leopard","0.040649414"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","leopard","0.19482422"
"","","","grey fox","0.124816895"
"","","","fox squirrel","0.097961426"
"","","","mongoose","0.093444824"
"","","","cheetah","0.08709717"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","cheetah","0.15539551"
"","","","leopard","0.07116699"
"","","","lynx","0.06951904"
"","","","jaguar","0.057617188"
"","","","dhole","0.04888916"
"mobilenet_v1_0.25_128","leopard","0.003","",""
"","","","leopard","0.30786133"
"","","","snow leopard","0.24536133"
"","","","jaguar","0.1895752"
"","","","Egyptian cat","0.09838867"
"","","","lynx","0.035339355"
"mobilenet_v1_0.25_128","lion","0.001","",""
"","","","lion","0.17297363"
"","","","cheetah","0.17028809"
"","","","hyena","0.079833984"
"","","","dhole","0.06463623"
"","","","hare","0.06365967"
"mobilenet_v1_0.25_128","lion","0.002","",""
"","","","lion","0.6513672"
"","","","coyote","0.089538574"
"","","","cougar","0.070251465"
"","","","timber wolf","0.032684326"
"","","","dhole","0.027526855"
"mobilenet_v1_0.25_128","lion","0.002","",""
"","","","lion","0.2939453"
"","","","kit fox","0.103149414"
"","","","red fox","0.053527832"
"","","","marmot","0.04989624"
"","","","brown bear","0.043670654"
"mobilenet_v1_0.25_128","lion","0.002","",""
"","","","lion","0.8588867"
"","","","brown bear","0.04019165"
"","","","bighorn","0.033325195"
"","","","cougar","0.021011353"
"","","","ram","0.010566711"
"mobilenet_v1_0.25_128","lion","0.001","",""
"","","","lion","0.94677734"
"","","","cheetah","0.029968262"
"","","","cougar","0.00995636"
"","","","coyote","0.002943039"
"","","","lynx","0.0011615753"
"mobilenet_v1_0.25_128","lion","0.001","",""
"","","","lion","0.7675781"
"","","","cougar","0.13439941"
"","","","dingo","0.02998352"
"","","","golden retriever","0.0068511963"
"","","","Norfolk terrier","0.0061416626"
"mobilenet_v1_0.25_128","lion","0.002","",""
"","","","ice bear","0.26953125"
"","","","lion","0.24169922"
"","","","white wolf","0.06109619"
"","","","kuvasz","0.053497314"
"","","","golden retriever","0.04611206"
"mobilenet_v1_0.25_128","lion","0.001","",""
"","","","Arabian camel","0.12158203"
"","","","mountain tent","0.068481445"
"","","","sandbar","0.05230713"
"","","","oxcart","0.034973145"
