"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_v2_0.35_128","leopard","0.005","",""
"","","","jaguar","0.53274095"
"","","","leopard","0.3750185"
"","","","cheetah","0.022684349"
"","","","eel","0.018883612"
"","","","Gila monster","0.0015113491"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","leopard","0.6722651"
"","","","cheetah","0.07616428"
"","","","jaguar","0.051497992"
"","","","honeycomb","0.027215432"
"","","","fur coat","0.014661518"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","jaguar","0.5449695"
"","","","leopard","0.39013645"
"","","","cheetah","0.017471159"
"","","","snow leopard","0.008757571"
"","","","lynx","0.002469581"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","cheetah","0.10155683"
"","","","hyena","0.08288823"
"","","","wood rabbit","0.048675597"
"","","","ant","0.04316068"
"","","","coyote","0.031388853"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","snow leopard","0.81932545"
"","","","lynx","0.042983472"
"","","","leopard","0.014248037"
"","","","cheetah","0.010155469"
"","","","jaguar","0.002879812"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","cheetah","0.94268703"
"","","","leopard","0.01734946"
"","","","jaguar","0.0069382056"
"","","","ram","0.0014475681"
"","","","hyena","0.0012204914"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","cheetah","0.16680527"
"","","","Gila monster","0.05607313"
"","","","snow leopard","0.052564677"
"","","","leopard","0.038196072"
"","","","jaguar","0.02518473"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","lynx","0.1302656"
"","","","hyena","0.09910032"
"","","","tiger","0.0977995"
"","","","Egyptian cat","0.05926016"
"","","","jaguar","0.050631396"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","leopard","0.6006339"
"","","","jaguar","0.2653395"
"","","","cheetah","0.02680139"
"","","","snow leopard","0.02280979"
"","","","lynx","0.0037931192"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","cheetah","0.3023971"
"","","","bustard","0.13000283"
