"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_v1_0.25_128","leopard","0.015","",""
"","","","hay","0.3618337"
"","","","cheetah","0.13603176"
"","","","bustard","0.07380805"
"","","","leopard","0.047578722"
"","","","coyote","0.023319323"
"mobilenet_v1_0.25_128","leopard","0.006","",""
"","","","baboon","0.12156668"
"","","","bighorn","0.08495533"
"","","","warthog","0.08188639"
"","","","hartebeest","0.057120297"
"","","","impala","0.0564157"
"mobilenet_v1_0.25_128","leopard","0.005","",""
"","","","leopard","0.31550837"
"","","","snow leopard","0.21952741"
"","","","jaguar","0.19940276"
"","","","Egyptian cat","0.103439316"
"","","","lynx","0.035126597"
"mobilenet_v1_0.25_128","leopard","0.005","",""
"","","","snow leopard","0.8890397"
"","","","cheetah","0.0358928"
"","","","hyena","0.02492522"
"","","","leopard","0.013166675"
"","","","lynx","0.0074120634"
"mobilenet_v1_0.25_128","leopard","0.012","",""
"","","","zebra","0.27581495"
"","","","cheetah","0.126348"
"","","","leopard","0.067649595"
"","","","diamondback","0.06057181"
"","","","sidewinder","0.04168657"
"mobilenet_v1_0.25_128","leopard","0.004","",""
"","","","leopard","0.5884137"
"","","","jaguar","0.28173658"
"","","","cheetah","0.11618443"
"","","","whiptail","0.008036842"
"","","","Gila monster","0.001930559"
"mobilenet_v1_0.25_128","leopard","0.005","",""
"","","","leopard","0.92209196"
"","","","cheetah","0.039164342"
"","","","jaguar","0.037736315"
"","","","lynx","1.9770596E-4"
"","","","ruffed grouse","1.8543482E-4"
"mobilenet_v1_0.25_128","leopard","0.005","",""
"","","","jaguar","0.7626351"
"","","","leopard","0.21810056"
"","","","cheetah","0.015673721"
"","","","snow leopard","0.0024680044"
"","","","dalmatian","3.4994367E-4"
"mobilenet_v1_0.25_128","leopard","0.008","",""
"","","","leopard","0.7656241"
"","","","jaguar","0.20378505"
"","","","cheetah","0.025202077"
"","","","ptarmigan","0.0010937129"
"","","","snow leopard","9.080672E-4"
"mobilenet_v1_0.25_128","leopard","0.005","",""
"","","","grey fox","0.1437758"
"","","","leopard","0.12895873"
"","","","fox squirrel","0.10895732"
"","","","mongoose","0.10091927"
"","","","Indian cobra","0.0838321"
"mobilenet_v1_0.25_128","lion","0.005","",""
"","","","lion","0.5871481"
"","","","dingo","0.18748598"
"","","","red wolf","0.08518884"
"","","","dhole","0.04962514"
"","","","malinois","0.016343923"
"mobilenet_v1_0.25_128","lion","0.005","",""
"","","","lion","0.35496232"
"","","","dhole","0.28912997"
"","","","brown bear","0.15002425"
"","","","coyote","0.037903868"
"","","","dingo","0.024923312"
"mobilenet_v1_0.25_128","lion","0.004","",""
"","","","macaque","0.088968255"
"","","","kit fox","0.07376438"
"","","","hyena","0.05636515"
"","","","lion","0.055414237"
"","","","weasel","0.04118339"
"mobilenet_v1_0.25_128","lion","0.005","",""
"","","","lion","0.57721055"
"","","","coyote","0.10205847"
"","","","cougar","0.068840735"
"","","","dhole","0.039986037"
"","","","timber wolf","0.03811174"
"mobilenet_v1_0.25_128","lion","0.005","",""
"","","","coyote","0.4270556"
"","","","lynx","0.14722407"
"","","","lion","0.094716564"
"","","","cougar","0.06304942"
"","","","dhole","0.048992876"
"mobilenet_v1_0.25_128","lion","0.005","",""
"","","","lion","0.11048819"
"","","","dhole","0.063293256"
"","","","megalith","0.03567538"
"","","","wallaby","0.0338476"
"","","","tiger","0.032583762"
"mobilenet_v1_0.25_128","lion","0.005","",""
"","","","Arctic_fox","0.18598206"
"","","","warthog","0.11972412"
"","","","lion","0.087342285"
"","","","white wolf","0.070236936"
"","","","coyote","0.0665146"
"mobilenet_v1_0.25_128","lion","0.005","",""
"","","","lion","0.50382525"
"","","","cougar","0.30547416"
"","","","dhole","0.08581949"
"","","","dingo","0.019008782"
"","","","hyena","0.01456059"
"mobilenet_v1_0.25_128","lion","0.005","",""
"","","","lion","0.4518387"
"","","","African elephant","0.17963597"
"","","","tusker","0.09128241"
"","","","Indian elephant","0.06504724"
"","","","malinois","0.048658513"
"mobilenet_v1_0.25_128","lion","0.006","",""
"","","","cougar","0.18031089"
"","","","lion","0.12074531"
"","","","dingo","0.068591975"
"","","","lynx","0.063667946"
"","","","patas","0.050795667"
"mobilenet_v1_0.25_128","bee","0.005","",""
"","","","daisy","0.4093635"
"","","","fountain","0.099881336"
"","","","candle","0.08355281"
"","","","yellow lady's slipper","0.05914078"
"","","","bee","0.042409465"
"mobilenet_v1_0.25_128","bee","0.005","",""
"","","","bee","0.27988264"
