"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_v2_0.35_128","leopard","0.011","",""
"","","","cheetah","0.32999247"
"","","","leopard","0.091994256"
"","","","whiptail","0.08675884"
"","","","zebra","0.08182138"
"","","","leatherback turtle","0.04554046"
"mobilenet_v2_0.35_128","leopard","0.009","",""
"","","","ibex","0.10067792"
"","","","coyote","0.09758039"
"","","","bighorn","0.09494832"
"","","","warthog","0.06374529"
"","","","hartebeest","0.053889006"
"mobilenet_v2_0.35_128","leopard","0.009","",""
"","","","cheetah","0.1452953"
"","","","hyena","0.09235531"
"","","","wood rabbit","0.07249052"
"","","","tailed frog","0.033059184"
"","","","hare","0.030100735"
"mobilenet_v2_0.35_128","leopard","0.009","",""
"","","","Gila monster","0.17982651"
"","","","mountain bike","0.034186687"
"","","","cheetah","0.031005979"
"","","","leatherback turtle","0.029586112"
"","","","diamondback","0.028452689"
"mobilenet_v2_0.35_128","leopard","0.013","",""
"","","","leopard","0.3315452"
"","","","snow leopard","0.3289651"
"","","","lynx","0.17885523"
"","","","cheetah","0.01791781"
"","","","great grey owl","0.01644231"
"mobilenet_v2_0.35_128","leopard","0.013","",""
"","","","leopard","0.40591922"
"","","","zebra","0.090219714"
"","","","cheetah","0.05802313"
"","","","tusker","0.029175857"
"","","","quail","0.024568541"
"mobilenet_v2_0.35_128","leopard","0.013","",""
"","","","cheetah","0.8958361"
"","","","leopard","0.07071763"
"","","","jaguar","0.014144419"
"","","","hyena","0.0035484375"
"","","","snow leopard","0.001763479"
"mobilenet_v2_0.35_128","leopard","0.012","",""
"","","","snow leopard","0.88686585"
"","","","leopard","0.014390957"
"","","","lynx","0.011428741"
"","","","tiger","0.007885594"
"","","","tabby","0.0068244124"
"mobilenet_v2_0.35_128","leopard","0.014","",""
"","","","jaguar","0.20181966"
"","","","leopard","0.14479852"
"","","","box turtle","0.03372745"
"","","","monarch","0.02907488"
"","","","common_iguana","0.021606615"
"mobilenet_v2_0.35_128","leopard","0.013","",""
"","","","leopard","0.53221625"
"","","","jaguar","0.2201342"
"","","","cheetah","0.029444842"
"","","","honeycomb","0.019235114"
"","","","eel","0.015699241"
"mobilenet_v2_0.35_128","lion","0.013","",""
"","","","lion","0.15685955"
"","","","hare","0.1099342"
"","","","dhole","0.061187595"
"","","","wood rabbit","0.058157988"
"","","","fox squirrel","0.05378735"
"mobilenet_v2_0.35_128","lion","0.012","",""
"","","","warthog","0.31085277"
"","","","wild boar","0.2103335"
"","","","lion","0.12268644"
"","","","water buffalo","0.03327959"
"","","","hog","0.032255687"
"mobilenet_v2_0.35_128","lion","0.012","",""
"","","","lion","0.974996"
"","","","lynx","0.005017351"
"","","","cheetah","0.0041271606"
"","","","dhole","0.0021244807"
"","","","leopard","0.0012010722"
"mobilenet_v2_0.35_128","lion","0.012","",""
"","","","warthog","0.38689798"
"","","","lion","0.18419103"
"","","","bison","0.061455745"
"","","","brown bear","0.038308088"
"","","","vizsla","0.023879126"
"mobilenet_v2_0.35_128","lion","0.012","",""
"","","","boa constrictor","0.09946599"
"","","","tailed frog","0.03849764"
"","","","rock python","0.03659149"
"","","","stinkhorn","0.035604496"
"","","","cougar","0.02794629"
"mobilenet_v2_0.35_128","lion","0.013","",""
"","","","lion","0.96335185"
"","","","dingo","0.0044612046"
"","","","cougar","0.0038158696"
"","","","chow","0.0018024899"
"","","","hyena","0.0017954618"
"mobilenet_v2_0.35_128","lion","0.013","",""
"","","","lion","0.82944906"
"","","","lynx","0.032795552"
"","","","Norfolk terrier","0.014782115"
"","","","Norwich terrier","0.0077290083"
"","","","cougar","0.0067942333"
"mobilenet_v2_0.35_128","lion","0.013","",""
"","","","lion","0.99913055"
"","","","warthog","2.6931736E-4"
"","","","cheetah","1.738844E-4"
"","","","cougar","5.6012683E-5"
"","","","bighorn","2.447013E-5"
"mobilenet_v2_0.35_128","lion","0.013","",""
"","","","lion","0.8409473"
"","","","cougar","0.020404978"
"","","","golden retriever","0.008949164"
"","","","dhole","0.0072190007"
"","","","dingo","0.0062719765"
"mobilenet_v2_0.35_128","lion","0.012","",""
"","","","Arabian camel","0.13524315"
"","","","African elephant","0.11567959"
"","","","warthog","0.11522859"
"","","","lion","0.11388615"
"","","","impala","0.08267248"
"mobilenet_v2_0.35_128","bee","0.012","",""
"","","","basketball","0.059389558"
"","","","carousel","0.046981007"
"","","","ice cream","0.035187148"
"","","","mask","0.034104552"
"","","","pinwheel","0.029285342"
"mobilenet_v2_0.35_128","bee","0.012","",""
"","","","bee","0.8106532"
"","","","cabbage butterfly","0.108856216"
"","","","hummingbird","0.016434828"
"","","","monarch","0.0087284725"
"","","","daisy","0.008328766"
"mobilenet_v2_0.35_128","bee","0.012","",""
"","","","hermit_crab","0.16422139"
"","","","crayfish","0.12396081"
"","","","bee","0.07577572"
"","","","tiger beetle","0.06041367"
"","","","ant","0.042839713"
"mobilenet_v2_0.35_128","bee","0.012","",""
"","","","bee","0.8536927"
"","","","fly","0.089278325"
"","","","ant","0.010830692"
"","","","wolf spider","0.0044103153"
"","","","cockroach","0.0041431077"
"mobilenet_v2_0.35_128","bee","0.013","",""
"","","","platypus","0.075903706"
"","","","rock beauty","0.06830594"
"","","","tench","0.055532336"
"","","","fox squirrel","0.04375843"
"","","","isopod","0.0340791"
"mobilenet_v2_0.35_128","bee","0.013","",""
"","","","bee","0.4208901"
"","","","cicada","0.1382537"
"","","","fly","0.066076234"
"","","","weevil","0.03454876"
"","","","leaf beetle","0.030848574"
"mobilenet_v2_0.35_128","bee","0.015","",""
"","","","honeycomb","0.27340516"
"","","","apiary","0.17514992"
"","","","admiral","0.07621902"
"","","","broccoli","0.05821131"
"","","","buckeye","0.032273162"
"mobilenet_v2_0.35_128","bee","0.017","",""
"","","","bee","0.09394128"
"","","","sulphur butterfly","0.09357503"
"","","","ladybug","0.059712708"
"","","","lorikeet","0.04705248"
"","","","ringlet","0.042177573"
"mobilenet_v2_0.35_128","bee","0.014","",""
"","","","bee","0.9752618"
"","","","ladybug","0.005490496"
"","","","ant","0.004696269"
"","","","fly","0.0038630452"
"","","","pinwheel","0.0010519804"
"mobilenet_v2_0.35_128","bee","0.012","",""
"","","","ladybug","0.50633967"
"","","","leaf beetle","0.10907672"
"","","","bee","0.036251795"
"","","","tick","0.033266522"
"","","","garden spider","0.025506321"
"mobilenet_v2_0.35_128","daisy","0.013","",""
"","","","daisy","0.98482865"
"","","","bee","0.0027339545"
"","","","cardoon","9.193441E-4"
"","","","fly","8.535822E-4"
"","","","pot","6.519128E-4"
"mobilenet_v2_0.35_128","daisy","0.013","",""
"","","","daisy","0.842435"
"","","","bee","0.043273762"
"","","","cabbage butterfly","0.008757323"
"","","","pinwheel","0.0069547263"
"","","","jigsaw puzzle","0.0042182556"
"mobilenet_v2_0.35_128","daisy","0.01","",""
"","","","daisy","0.94410497"
"","","","cabbage butterfly","0.003287348"
"","","","bee","0.0026517971"
"","","","pinwheel","0.0015528327"
"","","","sulphur-crested cockatoo","0.0014933454"
"mobilenet_v2_0.35_128","daisy","0.011","",""
"","","","daisy","0.91716903"
"","","","sea anemone","0.022167686"
"","","","bee","0.010553401"
"","","","sea urchin","0.006179836"
"","","","pot","0.0026167077"
"mobilenet_v2_0.35_128","daisy","0.013","",""
"","","","daisy","0.9376745"
"","","","bee","0.010376013"
"","","","ant","0.0062200497"
"","","","sulphur butterfly","0.0041434467"
