"ModelName","Label","InferenceTime","Recognition","Accuracy"
"v3-large-minimalistic_224_1.0_float","leopard","0.015","",""
"","","","coyote","0.36987305"
"","","","lion","0.22094727"
"","","","dhole","0.061340332"
"","","","grey fox","0.054779053"
"","","","wallaby","0.031951904"
"v3-large-minimalistic_224_1.0_float","leopard","0.013","",""
"","","","cheetah","0.45751953"
"","","","leopard","0.39746094"
"","","","snow leopard","0.04324341"
"","","","jaguar","0.020584106"
"","","","lynx","0.0057144165"
"v3-large-minimalistic_224_1.0_float","leopard","0.013","",""
"","","","leopard","0.36987305"
"","","","Egyptian cat","0.061309814"
"","","","lynx","0.057159424"
"","","","tiger cat","0.04812622"
"","","","tabby","0.019744873"
"v3-large-minimalistic_224_1.0_float","leopard","0.013","",""
"","","","jaguar","0.5185547"
"","","","leopard","0.4038086"
"","","","cheetah","0.0034389496"
"","","","snow leopard","0.0018339157"
"","","","Egyptian cat","0.0013790131"
"v3-large-minimalistic_224_1.0_float","leopard","0.013","",""
"","","","leopard","0.93847656"
"","","","cheetah","0.012001038"
"","","","jaguar","0.010505676"
"","","","lion","3.3068657E-4"
"","","","whiptail","3.0755997E-4"
"v3-large-minimalistic_224_1.0_float","leopard","0.013","",""
"","","","leopard","0.5053711"
"","","","snow leopard","0.21081543"
"","","","jaguar","0.17272949"
"","","","cheetah","0.01134491"
"","","","lynx","0.00258255"
"v3-large-minimalistic_224_1.0_float","leopard","0.013","",""
"","","","leopard","0.70166016"
"","","","jaguar","0.13183594"
"","","","banded gecko","0.06451416"
"","","","snow leopard","0.015319824"
"","","","axolotl","0.012168884"
"v3-large-minimalistic_224_1.0_float","leopard","0.015","",""
"","","","cheetah","0.35107422"
"","","","leopard","0.28881836"
"","","","honeycomb","0.09234619"
"","","","jaguar","0.06890869"
"","","","banded gecko","0.016174316"
"v3-large-minimalistic_224_1.0_float","leopard","0.013","",""
"","","","snow leopard","0.8979492"
"","","","leopard","0.033233643"
"","","","lynx","0.0038909912"
"","","","cheetah","0.0030899048"
"","","","jaguar","0.0026855469"
"v3-large-minimalistic_224_1.0_float","leopard","0.02","",""
"","","","leopard","0.88671875"
"","","","cheetah","0.10266113"
"","","","porcupine","0.0016717911"
"","","","jaguar","0.0011053085"
"","","","baboon","3.8790703E-4"
"v3-large-minimalistic_224_1.0_float","lion","0.013","",""
"","","","lion","0.9370117"
"","","","chow","0.040374756"
"","","","Pomeranian","9.570122E-4"
"","","","bison","5.1021576E-4"
"","","","collie","4.5919418E-4"
"v3-large-minimalistic_224_1.0_float","lion","0.014","",""
"","","","lion","0.37890625"
"","","","dhole","0.12011719"
"","","","coyote","0.03945923"
"","","","ibex","0.035369873"
"","","","cougar","0.0345459"
"v3-large-minimalistic_224_1.0_float","lion","0.013","",""
"","","","lion","0.99560547"
"","","","hyena","8.69751E-4"
"","","","ice bear","3.8599968E-4"
"","","","brown bear","2.1648407E-4"
"","","","cougar","2.0420551E-4"
"v3-large-minimalistic_224_1.0_float","lion","0.014","",""
"","","","lion","0.33813477"
"","","","hyena","0.2824707"
"","","","dhole","0.18237305"
"","","","coyote","0.03024292"
"","","","dingo","0.024108887"
"v3-large-minimalistic_224_1.0_float","lion","0.014","",""
"","","","lion","0.9785156"
"","","","dhole","0.0028476715"
"","","","cheetah","0.0020427704"
"","","","chow","0.0012588501"
"","","","cougar","9.6845627E-4"
"v3-large-minimalistic_224_1.0_float","lion","0.014","",""
"","","","lion","0.97216797"
"","","","chow","0.004131317"
"","","","tiger","0.00166893"
"","","","Pomeranian","4.3034554E-4"
"","","","golden retriever","4.2438507E-4"
"v3-large-minimalistic_224_1.0_float","lion","0.013","",""
"","","","lion","0.7192383"
"","","","hyena","0.03062439"
"","","","sea lion","0.01474762"
"","","","triceratops","0.014404297"
"","","","leopard","0.013114929"
"v3-large-minimalistic_224_1.0_float","lion","0.013","",""
"","","","lion","0.9033203"
"","","","bison","0.005104065"
"","","","chow","0.0036621094"
"","","","lynx","0.0034885406"
"","","","cheetah","0.0016098022"
"v3-large-minimalistic_224_1.0_float","lion","0.013","",""
"","","","lion","0.9316406"
"","","","impala","0.022964478"
"","","","hartebeest","0.0067100525"
"","","","bighorn","0.006084442"
"","","","cougar","0.003206253"
"v3-large-minimalistic_224_1.0_float","lion","0.014","",""
"","","","lion","0.94384766"
"","","","cheetah","0.01701355"
"","","","leopard","0.006164551"
"","","","lynx","0.0032348633"
"","","","tiger cat","0.0020008087"
"v3-large-minimalistic_224_1.0_float","bee","0.014","",""
"","","","bee","0.94189453"
"","","","ant","0.007686615"
"","","","fly","0.0074768066"
"","","","dragonfly","0.0039863586"
"","","","lacewing","0.0036296844"
"v3-large-minimalistic_224_1.0_float","bee","0.014","",""
"","","","tarantula","0.20959473"
"","","","barn spider","0.12670898"
"","","","wolf spider","0.1083374"
"","","","garden spider","0.030075073"
"","","","black and gold garden spider","0.021575928"
"v3-large-minimalistic_224_1.0_float","bee","0.014","",""
"","","","bee","0.74121094"
"","","","sulphur butterfly","0.04019165"
"","","","admiral","0.037475586"
"","","","ladybug","0.033447266"
"","","","leaf beetle","0.025848389"
"v3-large-minimalistic_224_1.0_float","bee","0.013","",""
"","","","bee","0.9926758"
"","","","long-horned beetle","8.177757E-4"
"","","","fly","7.8344345E-4"
"","","","hummingbird","3.5452843E-4"
"","","","ant","2.7823448E-4"
"v3-large-minimalistic_224_1.0_float","bee","0.013","",""
"","","","bee","0.9584961"
"","","","ant","0.007118225"
"","","","fly","0.0055656433"
"","","","daisy","0.0035114288"
"","","","centipede","0.0016393661"
"v3-large-minimalistic_224_1.0_float","bee","0.013","",""
"","","","bee","0.7871094"
"","","","cardoon","0.03857422"
"","","","cabbage butterfly","0.022232056"
"","","","hummingbird","0.01977539"
"","","","fly","0.015525818"
"v3-large-minimalistic_224_1.0_float","bee","0.013","",""
"","","","daisy","0.39794922"
"","","","bee","0.07330322"
"","","","fly","0.037872314"
"","","","sulphur butterfly","0.037017822"
"","","","long-horned beetle","0.025039673"
"v3-large-minimalistic_224_1.0_float","bee","0.014","",""
"","","","ant","0.27661133"
"","","","honeycomb","0.27661133"
"","","","apiary","0.26586914"
"","","","bee","0.15039062"
"","","","cockroach","0.0025672913"
"v3-large-minimalistic_224_1.0_float","bee","0.013","",""
"","","","fly","0.6328125"
"","","","bee","0.059783936"
"","","","isopod","0.023239136"
"","","","barn spider","0.012779236"
"","","","black widow","0.011230469"
"v3-large-minimalistic_224_1.0_float","bee","0.014","",""
"","","","bee","0.98291016"
"","","","fly","0.0044784546"
"","","","leaf beetle","0.0019044876"
"","","","fiddler crab","0.0017204285"
"","","","ant","0.0017004013"
"v3-large-minimalistic_224_1.0_float","daisy","0.013","",""
"","","","daisy","0.96533203"
"","","","pot","0.0015268326"
"","","","cabbage butterfly","0.0010995865"
"","","","spaghetti squash","0.0010290146"
"","","","acorn squash","9.36985E-4"
"v3-large-minimalistic_224_1.0_float","daisy","0.013","",""
"","","","rapeseed","0.26220703"
"","","","sulphur butterfly","0.16601562"
"","","","daisy","0.16149902"
"","","","cabbage butterfly","0.097595215"
"","","","bee","0.045562744"
"v3-large-minimalistic_224_1.0_float","daisy","0.013","",""
"","","","daisy","0.6064453"
"","","","sea anemone","0.047668457"
"","","","pineapple","0.011276245"
"","","","hen-of-the-woods","0.011100769"
"","","","ant","0.009613037"
"v3-large-minimalistic_224_1.0_float","daisy","0.013","",""
"","","","daisy","0.89453125"
"","","","bee","0.014854431"
"","","","cabbage butterfly","0.014511108"
"","","","pot","0.005382538"
"","","","monarch","0.00422287"
"v3-large-minimalistic_224_1.0_float","daisy","0.013","",""
"","","","daisy","0.7519531"
"","","","bee","0.036712646"
