"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_v1_0.25_128","leopard","0.009","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","leopard","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","leopard","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","lion","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","lion","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","lion","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","bee","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","bee","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","bee","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","daisy","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","daisy","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","daisy","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","lemon","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","lemon","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","lemon","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","shark","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","shark","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","shark","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","stingray","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","stingray","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","stingray","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","mud_turtle","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","mud_turtle","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","mud_turtle","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","common_iguana","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","common_iguana","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","common_iguana","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","whiptail","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","whiptail","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","whiptail","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","Komodo_dragon","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","Komodo_dragon","0.011","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","Komodo_dragon","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","green_mamba","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","green_mamba","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","green_mamba","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","horned_viper","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","horned_viper","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","horned_viper","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","scorpion","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","scorpion","0.011","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","scorpion","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","tarantula","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","tarantula","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","tarantula","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","snail","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","snail","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","snail","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","jellyfish","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","jellyfish","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","jellyfish","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","mongoose","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","mongoose","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","mongoose","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","hyena","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","hyena","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","hyena","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","Arctic_fox","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","Arctic_fox","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","Arctic_fox","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","miniature_poodle","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","miniature_poodle","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","miniature_poodle","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","Pekinese","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","Pekinese","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","Pekinese","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","Chihuahua","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","Chihuahua","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","Chihuahua","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","crayfish","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","crayfish","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","crayfish","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","hermit_crab","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","hermit_crab","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","hermit_crab","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","cockroach","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","cockroach","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","cockroach","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","cricket","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","cricket","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","cricket","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","grasshopper","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","grasshopper","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","grasshopper","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","ant","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","ant","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","ant","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","fly","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","fly","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","fly","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","weevil","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","weevil","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","weevil","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","ladybug","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","ladybug","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","ladybug","0.007","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","meerkat","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","meerkat","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128","meerkat","0.008","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128_quant","leopard","0.019","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128_quant","leopard","0.012","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128_quant","leopard","0.011","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128_quant","lion","0.01","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128_quant","lion","0.01","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128_quant","lion","0.012","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128_quant","bee","0.012","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128_quant","bee","0.012","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128_quant","bee","0.011","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128_quant","daisy","0.011","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128_quant","daisy","0.011","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128_quant","daisy","0.011","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128_quant","lemon","0.011","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128_quant","lemon","0.011","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128_quant","lemon","0.01","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128_quant","shark","0.01","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128_quant","shark","0.011","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"mobilenet_v1_0.25_128_quant","shark","0.011","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
