"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_v2_0.35_128","leopard","0.046","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","leopard","0.007","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lion","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lion","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lion","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lion","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lion","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lion","0.003","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lion","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lion","0.014","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lion","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lion","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","bee","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","bee","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","bee","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","bee","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","bee","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","bee","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","bee","0.003","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","bee","0.003","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","bee","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","bee","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","daisy","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","daisy","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","daisy","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","daisy","0.003","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","daisy","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","daisy","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","daisy","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","daisy","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","daisy","0.003","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","daisy","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lemon","0.003","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lemon","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lemon","0.003","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lemon","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lemon","0.005","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lemon","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lemon","0.016","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lemon","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lemon","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","lemon","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","shark","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","shark","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","shark","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","shark","0.003","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","shark","0.003","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","shark","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","shark","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","shark","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","shark","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","shark","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","stingray","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","stingray","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","stingray","0.003","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","stingray","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","stingray","0.02","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","stingray","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","stingray","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","stingray","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","stingray","0.009","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","stingray","0.006","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","mud_turtle","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","mud_turtle","0.007","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","mud_turtle","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","mud_turtle","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","mud_turtle","0.003","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","mud_turtle","0.003","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","mud_turtle","0.003","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","mud_turtle","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","mud_turtle","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","mud_turtle","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","common_iguana","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
"","","","wall clock","0.022768224"
"","","","velvet","0.019474994"
"","","","nematode","0.01828054"
"mobilenet_v2_0.35_128","common_iguana","0.004","",""
"","","","screw","0.057381313"
"","","","digital clock","0.02660151"
