"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_edgetpu_224_0.75_float","leopard","0.018","",""
"","","","balloon","0.04107666"
"","","","nematode","0.03125"
"","","","pelican","0.029464722"
"","","","vulture","0.023223877"
"","","","tile roof","0.021224976"
"mobilenet_edgetpu_224_0.75_float","leopard","0.018","",""
"","","","balloon","0.04107666"
"","","","nematode","0.03125"
"","","","pelican","0.029464722"
"","","","vulture","0.023223877"
"","","","tile roof","0.021224976"
"mobilenet_edgetpu_224_0.75_float","leopard","0.018","",""
"","","","balloon","0.04107666"
"","","","nematode","0.03125"
"","","","pelican","0.029464722"
"","","","vulture","0.023223877"
"","","","tile roof","0.021224976"
"mobilenet_edgetpu_224_0.75_float","leopard","0.019","",""
"","","","balloon","0.04107666"
"","","","nematode","0.03125"
"","","","pelican","0.029464722"
"","","","vulture","0.023223877"
"","","","tile roof","0.021224976"
"mobilenet_edgetpu_224_0.75_float","leopard","0.017","",""
"","","","balloon","0.04107666"
"","","","nematode","0.03125"
"","","","pelican","0.029464722"
"","","","vulture","0.023223877"
"","","","tile roof","0.021224976"
"mobilenet_edgetpu_224_0.75_float","leopard","0.018","",""
"","","","balloon","0.04107666"
"","","","nematode","0.03125"
"","","","pelican","0.029464722"
"","","","vulture","0.023223877"
"","","","tile roof","0.021224976"
"mobilenet_edgetpu_224_0.75_float","leopard","0.017","",""
"","","","balloon","0.04107666"
"","","","nematode","0.03125"
"","","","pelican","0.029464722"
"","","","vulture","0.023223877"
"","","","tile roof","0.021224976"
"mobilenet_edgetpu_224_0.75_float","leopard","0.017","",""
"","","","balloon","0.04107666"
"","","","nematode","0.03125"
"","","","pelican","0.029464722"
"","","","vulture","0.023223877"
"","","","tile roof","0.021224976"
"mobilenet_edgetpu_224_0.75_float","leopard","0.016","",""
"","","","balloon","0.04107666"
"","","","nematode","0.03125"
"","","","pelican","0.029464722"
"","","","vulture","0.023223877"
"","","","tile roof","0.021224976"
"mobilenet_edgetpu_224_0.75_float","leopard","0.02","",""
"","","","balloon","0.04107666"
"","","","nematode","0.03125"
"","","","pelican","0.029464722"
"","","","vulture","0.023223877"
"","","","tile roof","0.021224976"
"mobilenet_edgetpu_224_0.75_float","lion","0.017","",""
"","","","balloon","0.04107666"
"","","","nematode","0.03125"
"","","","pelican","0.029464722"
"","","","vulture","0.023223877"
"","","","tile roof","0.021224976"
"mobilenet_edgetpu_224_0.75_float","lion","0.018","",""
"","","","balloon","0.04107666"
"","","","nematode","0.03125"
"","","","pelican","0.029464722"
"","","","vulture","0.023223877"
"","","","tile roof","0.021224976"
"mobilenet_edgetpu_224_0.75_float","lion","0.02","",""
"","","","balloon","0.04107666"
"","","","nematode","0.03125"
"","","","pelican","0.029464722"
"","","","vulture","0.023223877"
"","","","tile roof","0.021224976"
"mobilenet_edgetpu_224_0.75_float","lion","0.018","",""
"","","","balloon","0.04107666"
"","","","nematode","0.03125"
"","","","pelican","0.029464722"
"","","","vulture","0.023223877"
"","","","tile roof","0.021224976"
"mobilenet_edgetpu_224_0.75_float","lion","0.018","",""
"","","","balloon","0.04107666"
"","","","nematode","0.03125"
"","","","pelican","0.029464722"
"","","","vulture","0.023223877"
"","","","tile roof","0.021224976"
"mobilenet_edgetpu_224_0.75_float","lion","0.019","",""
"","","","balloon","0.04107666"
"","","","nematode","0.03125"
"","","","pelican","0.029464722"
"","","","vulture","0.023223877"
"","","","tile roof","0.021224976"
"mobilenet_edgetpu_224_0.75_float","lion","0.018","",""
"","","","balloon","0.04107666"
"","","","nematode","0.03125"
"","","","pelican","0.029464722"
"","","","vulture","0.023223877"
"","","","tile roof","0.021224976"
"mobilenet_edgetpu_224_0.75_float","lion","0.019","",""
"","","","balloon","0.04107666"
"","","","nematode","0.03125"
"","","","pelican","0.029464722"
"","","","vulture","0.023223877"
"","","","tile roof","0.021224976"
"mobilenet_edgetpu_224_0.75_float","lion","0.018","",""
"","","","balloon","0.04107666"
"","","","nematode","0.03125"
"","","","pelican","0.029464722"
"","","","vulture","0.023223877"
"","","","tile roof","0.021224976"
"mobilenet_edgetpu_224_0.75_float","lion","0.018","",""
"","","","balloon","0.04107666"
