"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_edgetpu_224_0.75_float","leopard","0.035","",""
"","","","matchstick","0.013571218"
"","","","nail","0.011339176"
"","","","can opener","0.011011793"
"","","","screw","0.010926099"
"","","","whistle","0.010006788"
"mobilenet_edgetpu_224_0.75_float","leopard","0.034","",""
"","","","matchstick","0.013571218"
"","","","nail","0.011339176"
"","","","can opener","0.011011793"
"","","","screw","0.010926099"
"","","","whistle","0.010006788"
"mobilenet_edgetpu_224_0.75_float","leopard","0.026","",""
"","","","matchstick","0.013571218"
"","","","nail","0.011339176"
"","","","can opener","0.011011793"
"","","","screw","0.010926099"
"","","","whistle","0.010006788"
"mobilenet_edgetpu_224_0.75_float","leopard","0.029","",""
"","","","matchstick","0.013571218"
"","","","nail","0.011339176"
"","","","can opener","0.011011793"
"","","","screw","0.010926099"
"","","","whistle","0.010006788"
"mobilenet_edgetpu_224_0.75_float","leopard","0.029","",""
"","","","matchstick","0.013571218"
"","","","nail","0.011339176"
"","","","can opener","0.011011793"
"","","","screw","0.010926099"
"","","","whistle","0.010006788"
"mobilenet_edgetpu_224_0.75_float","leopard","0.028","",""
"","","","matchstick","0.013571218"
"","","","nail","0.011339176"
"","","","can opener","0.011011793"
"","","","screw","0.010926099"
"","","","whistle","0.010006788"
"mobilenet_edgetpu_224_0.75_float","leopard","0.027","",""
"","","","matchstick","0.013571218"
"","","","nail","0.011339176"
"","","","can opener","0.011011793"
"","","","screw","0.010926099"
"","","","whistle","0.010006788"
"mobilenet_edgetpu_224_0.75_float","leopard","0.027","",""
"","","","matchstick","0.013571218"
"","","","nail","0.011339176"
"","","","can opener","0.011011793"
"","","","screw","0.010926099"
"","","","whistle","0.010006788"
"mobilenet_edgetpu_224_0.75_float","leopard","0.028","",""
"","","","matchstick","0.013571218"
"","","","nail","0.011339176"
"","","","can opener","0.011011793"
"","","","screw","0.010926099"
"","","","whistle","0.010006788"
"mobilenet_edgetpu_224_0.75_float","leopard","0.029","",""
"","","","matchstick","0.013571218"
"","","","nail","0.011339176"
"","","","can opener","0.011011793"
"","","","screw","0.010926099"
