"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_v2_0.35_128","leopard","0.006","",""
"","","","jaguar","0.5839394"
"","","","leopard","0.2599849"
"","","","cheetah","0.06022972"
"","","","snow leopard","0.005619965"
"","","","Gila monster","0.0038063666"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","snow leopard","0.88739604"
"","","","leopard","0.014370491"
"","","","lynx","0.011337002"
"","","","tiger","0.007875055"
"","","","tabby","0.006821339"
"mobilenet_v2_0.35_128","leopard","0.009","",""
"","","","cheetah","0.5137435"
"","","","leopard","0.28099295"
"","","","jaguar","0.12950249"
"","","","diamondback","0.006165642"
"","","","Gila monster","0.0042296764"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","jaguar","0.7845293"
"","","","leopard","0.13647033"
"","","","cheetah","0.007822517"
"","","","Gila monster","0.0041894764"
"","","","dalmatian","0.0021785072"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","leopard","0.5442152"
"","","","jaguar","0.24568447"
"","","","snow leopard","0.053476766"
"","","","cheetah","0.04142351"
"","","","diamondback","0.0041078655"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","baboon","0.19988686"
"","","","koala","0.13184245"
"","","","porcupine","0.039290298"
"","","","colobus","0.03196935"
"","","","Border terrier","0.029457653"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","hyena","0.37634805"
"","","","jaguar","0.09667566"
"","","","triceratops","0.08080034"
"","","","leopard","0.058173083"
"","","","lynx","0.0429288"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","cheetah","0.2985691"
"","","","jaguar","0.26754975"
"","","","leopard","0.23567191"
"","","","Gila monster","0.005069818"
"","","","honeycomb","0.0041780397"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","leopard","0.619784"
"","","","cheetah","0.10956099"
"","","","jaguar","0.029884715"
"","","","honeycomb","0.028221207"
"","","","fur coat","0.023846311"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","cheetah","0.9415008"
"","","","leopard","0.016959513"
"","","","jaguar","0.0071162544"
"","","","ram","0.0016540099"
"","","","hyena","0.0012642718"
"mobilenet_v2_0.35_128","lion","0.004","",""
"","","","lion","0.44651288"
"","","","grey fox","0.15880041"
"","","","kit fox","0.05214326"
"","","","red wolf","0.038864143"
"","","","coyote","0.03708575"
"mobilenet_v2_0.35_128","lion","0.004","",""
"","","","lion","0.21401541"
"","","","cougar","0.20318292"
"","","","otter","0.08759155"
"","","","lynx","0.08674061"
"","","","sea lion","0.0314909"
"mobilenet_v2_0.35_128","lion","0.003","",""
"","","","cougar","0.31748372"
"","","","lion","0.099709176"
"","","","Norwegian elkhound","0.09924764"
"","","","keeshond","0.026154816"
"","","","Rottweiler","0.020335881"
"mobilenet_v2_0.35_128","lion","0.003","",""
"","","","lion","0.18296805"
"","","","coyote","0.15559033"
"","","","kit fox","0.094242774"
"","","","hyena","0.08871456"
"","","","cougar","0.07412168"
"mobilenet_v2_0.35_128","lion","0.003","",""
"","","","lion","0.28708193"
"","","","red wolf","0.17153803"
"","","","cougar","0.0847046"
"","","","kit fox","0.07817562"
"","","","dhole","0.047716048"
"mobilenet_v2_0.35_128","lion","0.004","",""
"","","","Norwich terrier","0.09265552"
"","","","Leonberg","0.07778376"
"","","","timber wolf","0.0665146"
"","","","Arabian camel","0.057136294"
"","","","lion","0.050800674"
"mobilenet_v2_0.35_128","lion","0.003","",""
