"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_v2_0.35_128","leopard","0.008","",""
"","","","hyena","0.39941406"
"","","","jaguar","0.09234619"
"","","","triceratops","0.06970215"
"","","","leopard","0.05822754"
"","","","lynx","0.045166016"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","leopard","0.52685547"
"","","","jaguar","0.22131348"
"","","","cheetah","0.030654907"
"","","","honeycomb","0.019485474"
"","","","eel","0.015899658"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","leopard","0.44726562"
"","","","cheetah","0.1348877"
"","","","snow leopard","0.08404541"
"","","","jaguar","0.068847656"
"","","","lynx","0.05178833"
"mobilenet_v2_0.35_128","leopard","0.002","",""
"","","","leopard","0.32592773"
"","","","cheetah","0.22058105"
"","","","jaguar","0.11669922"
"","","","whiptail","0.030792236"
"","","","Gila monster","0.017349243"
"mobilenet_v2_0.35_128","leopard","0.015","",""
"","","","cheetah","0.36157227"
"","","","bustard","0.1472168"
"","","","leopard","0.11468506"
"","","","coyote","0.058563232"
"","","","impala","0.039611816"
"mobilenet_v2_0.35_128","leopard","0.007","",""
"","","","leopard","0.7631836"
"","","","jaguar","0.12756348"
"","","","cheetah","0.04324341"
"","","","lynx","0.006011963"
"","","","stinkhorn","0.0023460388"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","jaguar","0.20959473"
"","","","leopard","0.1508789"
"","","","box turtle","0.030181885"
"","","","monarch","0.026947021"
"","","","common_iguana","0.021408081"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","cheetah","0.6230469"
"","","","leopard","0.2006836"
"","","","jaguar","0.107421875"
"","","","Egyptian cat","0.019638062"
"","","","lynx","0.0054092407"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","leopard","0.6323242"
"","","","jaguar","0.06161499"
"","","","cheetah","0.03567505"
"","","","snow leopard","0.029220581"
"","","","lynx","0.020553589"
"mobilenet_v2_0.35_128","leopard","0.002","",""
"","","","snow leopard","0.11254883"
"","","","lynx","0.0463562"
"","","","toy poodle","0.036834717"
"","","","leopard","0.035827637"
"","","","promontory","0.03173828"
"mobilenet_v2_0.35_128","lion","0.002","",""
"","","","lion","0.9819336"
"","","","chow","0.0042381287"
"","","","Pomeranian","0.0015048981"
"","","","cheetah","9.202957E-4"
"","","","gibbon","8.5783005E-4"
"mobilenet_v2_0.35_128","lion","0.003","",""
"","","","cheetah","0.09832764"
"","","","sidewinder","0.096069336"
"","","","diamondback","0.08508301"
"","","","dung beetle","0.046081543"
"","","","horned_viper","0.042785645"
