"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_v2_0.35_128","leopard","0.011","",""
"","","","snow leopard","0.7525169"
"","","","leopard","0.033847358"
"","","","cheetah","0.02795105"
"","","","hyena","0.009547088"
"","","","lion","0.009181343"
"mobilenet_v2_0.35_128","leopard","0.007","",""
"","","","cheetah","0.82249665"
"","","","leopard","0.0814382"
"","","","jaguar","0.021494847"
"","","","snow leopard","0.013824011"
"","","","lynx","0.0050459933"
"mobilenet_v2_0.35_128","leopard","0.006","",""
"","","","cheetah","0.33780384"
"","","","bustard","0.15709338"
"","","","leopard","0.11009808"
"","","","coyote","0.061759423"
"","","","impala","0.04003095"
"mobilenet_v2_0.35_128","leopard","0.005","",""
"","","","badger","0.055255536"
"","","","killer whale","0.04763325"
"","","","lynx","0.039954837"
"","","","Egyptian cat","0.030041913"
"","","","grey fox","0.029924791"
"mobilenet_v2_0.35_128","leopard","0.01","",""
"","","","leopard","0.27990922"
"","","","jaguar","0.06418754"
"","","","king snake","0.052184097"
"","","","whiptail","0.032528665"
"","","","cheetah","0.029158501"
"mobilenet_v2_0.35_128","leopard","0.01","",""
"","","","cheetah","0.9414952"
"","","","leopard","0.016976742"
"","","","jaguar","0.007076959"
"","","","ram","0.0016548645"
"","","","hyena","0.0012638821"
"mobilenet_v2_0.35_128","leopard","0.012","",""
"","","","cheetah","0.29963705"
"","","","jaguar","0.2665027"
"","","","leopard","0.23518781"
"","","","Gila monster","0.0050756116"
"","","","honeycomb","0.0041669374"
"mobilenet_v2_0.35_128","leopard","0.017","",""
"","","","snow leopard","0.88686585"
"","","","leopard","0.014390957"
"","","","lynx","0.011428741"
"","","","tiger","0.007885594"
"","","","tabby","0.0068244124"
"mobilenet_v2_0.35_128","leopard","0.011","",""
"","","","cheetah","0.19902971"
"","","","snow leopard","0.06311867"
"","","","Gila monster","0.05570203"
"","","","leopard","0.042375866"
"","","","jaguar","0.026005235"
"mobilenet_v2_0.35_128","leopard","0.008","",""
"","","","leopard","0.40591922"
"","","","zebra","0.090219714"
"","","","cheetah","0.05802313"
"","","","tusker","0.029175857"
"","","","quail","0.024568541"
"mobilenet_v2_0.35_128","lion","0.009","",""
"","","","lion","0.49572906"
"","","","red wolf","0.085141174"
"","","","orangutan","0.03507863"
"","","","ox","0.03413244"
"","","","dhole","0.029195026"
"mobilenet_v2_0.35_128","lion","0.009","",""
"","","","screen","0.22346777"
"","","","microwave","0.12732808"
"","","","television","0.083830625"
"","","","window screen","0.03334552"
"","","","desktop computer","0.032319587"
"mobilenet_v2_0.35_128","lion","0.012","",""
"","","","lion","0.9888049"
"","","","brown bear","0.0018939874"
"","","","cheetah","0.0016011395"
"","","","chow","0.0015218622"
"","","","Newfoundland","5.4903305E-4"
"mobilenet_v2_0.35_128","lion","0.012","",""
"","","","lion","0.9899474"
"","","","chow","0.0012242633"
"","","","brown bear","8.060338E-4"
"","","","tiger","5.183858E-4"
"","","","Tibetan mastiff","4.8318872E-4"
"mobilenet_v2_0.35_128","lion","0.01","",""
"","","","kit fox","0.4159591"
"","","","red fox","0.18458071"
"","","","mongoose","0.10936045"
"","","","dhole","0.056735456"
"","","","patas","0.02365086"
"mobilenet_v2_0.35_128","lion","0.019","",""
"","","","lion","0.947948"
"","","","hyena","0.009042683"
"","","","cheetah","0.004746582"
"","","","warthog","0.004709644"
"","","","wild boar","0.0034188353"
"mobilenet_v2_0.35_128","lion","0.015","",""
"","","","lion","0.9696834"
"","","","bull mastiff","0.0054166066"
"","","","cougar","0.0044209054"
"","","","malinois","0.0031104956"
"","","","dingo","0.0021129048"
"mobilenet_v2_0.35_128","lion","0.012","",""
"","","","vizsla","0.11009494"
"","","","Rhodesian ridgeback","0.07992035"
"","","","tusker","0.07248461"
"","","","lion","0.04294571"
"","","","African elephant","0.040660184"
"mobilenet_v2_0.35_128","lion","0.013","",""
"","","","lion","0.7850604"
"","","","Pomeranian","0.055552207"
"","","","chow","0.042927414"
"","","","red wolf","0.037150588"
"","","","collie","0.006405565"
"mobilenet_v2_0.35_128","lion","0.012","",""
"","","","lion","0.21028082"
"","","","cairn","0.0798136"
"","","","Norwich terrier","0.077964716"
"","","","coyote","0.06853538"
"","","","kit fox","0.06313775"
"mobilenet_v2_0.35_128","bee","0.018","",""
"","","","fiddler crab","0.1899868"
"","","","eft","0.12955974"
"","","","cicada","0.089393534"
"","","","rock crab","0.053588234"
"","","","bee","0.043566927"
"mobilenet_v2_0.35_128","bee","0.014","",""
"","","","bee","0.4729449"
"","","","tailed frog","0.05989378"
"","","","snail","0.04664532"
"","","","cicada","0.04574312"
"","","","leaf beetle","0.030234354"
"mobilenet_v2_0.35_128","bee","0.014","",""
"","","","admiral","0.45346907"
"","","","guacamole","0.08654608"
"","","","monarch","0.057427358"
"","","","bee","0.038554903"
"","","","broccoli","0.03336649"
"mobilenet_v2_0.35_128","bee","0.014","",""
"","","","basketball","0.059389558"
"","","","carousel","0.046981007"
"","","","ice cream","0.035187148"
"","","","mask","0.034104552"
"","","","pinwheel","0.029285342"
"mobilenet_v2_0.35_128","bee","0.012","",""
"","","","ground beetle","0.37951332"
"","","","fly","0.05911677"
"","","","mousetrap","0.053616583"
"","","","barn spider","0.04291418"
"","","","isopod","0.030430708"
"mobilenet_v2_0.35_128","bee","0.013","",""
"","","","tick","0.07235815"
"","","","cockroach","0.071236335"
"","","","leaf beetle","0.0581414"
"","","","boxer","0.04635437"
"","","","malinois","0.031364936"
"mobilenet_v2_0.35_128","bee","0.013","",""
"","","","bee","0.3280876"
"","","","weevil","0.20055592"
"","","","fly","0.19591005"
"","","","cicada","0.034715522"
"","","","leaf beetle","0.031856753"
"mobilenet_v2_0.35_128","bee","0.013","",""
"","","","bee","0.49394926"
"","","","cicada","0.19343331"
"","","","fly","0.09501124"
"","","","leaf beetle","0.030845637"
"","","","dragonfly","0.022130663"
"mobilenet_v2_0.35_128","bee","0.013","",""
"","","","bee","0.14976814"
"","","","ant","0.06698046"
"","","","hip","0.04409878"
"","","","strawberry","0.039375775"
"","","","ladybug","0.037572626"
"mobilenet_v2_0.35_128","bee","0.011","",""
"","","","lycaenid","0.584099"
"","","","ringlet","0.10974895"
"","","","dragonfly","0.038676288"
"","","","harvestman","0.033341043"
"","","","sulphur butterfly","0.015687795"
"mobilenet_v2_0.35_128","daisy","0.01","",""
"","","","daisy","0.49068996"
"","","","cardoon","0.23360342"
"","","","cabbage butterfly","0.11931296"
