"ModelName","Label","InferenceTime","Recognition","Accuracy"
mobilenet_v1_1.0_160_quant,label,0.014249801635742188
,,,espresso maker,10.0546875
,,,trench coat,9.703125
,,,"binoculars, field glasses, opera glasses",9.28125
,,,window shade,8.84375
,,,"jinrikisha, ricksha, rickshaw",8.0859375
mobilenet_v1_1.0_160_quant,label,0.005957365036010742
,,,espresso maker,9.5234375
,,,"binoculars, field glasses, opera glasses",8.9609375
,,,window shade,8.5078125
,,,"cliff, drop, drop-off",8.3984375
,,,"promontory, headland, head, foreland",8.328125
mobilenet_v1_1.0_160_quant,label,0.006002664566040039
,,,trench coat,10.3046875
,,,espresso maker,9.6484375
,,,"binoculars, field glasses, opera glasses",9.4765625
,,,window shade,8.6796875
,,,digital watch,8.203125
mobilenet_v1_1.0_160_quant,label,0.006024360656738281
,,,"sea anemone, anemone",9.1640625
,,,trench coat,9.1484375
,,,espresso maker,9.0703125
,,,window shade,9.015625
,,,"cliff, drop, drop-off",8.8671875
mobilenet_v1_1.0_160_quant,label,0.005701780319213867
,,,espresso maker,9.3046875
,,,"binoculars, field glasses, opera glasses",9.1171875
,,,"sea anemone, anemone",8.890625
,,,window shade,8.78125
,,,trench coat,8.640625
mobilenet_v1_1.0_160_quant,label,0.0055506229400634766
,,,"binoculars, field glasses, opera glasses",9.390625
,,,trench coat,8.515625
,,,espresso maker,8.2109375
,,,"cliff, drop, drop-off",8.0234375
,,,digital watch,7.75
mobilenet_v1_1.0_160_quant,label,0.005712747573852539
,,,trench coat,9.640625
,,,window shade,9.2265625
,,,"binoculars, field glasses, opera glasses",9.140625
,,,"promontory, headland, head, foreland",8.8046875
,,,espresso maker,8.71875
mobilenet_v1_1.0_160_quant,label,0.005579233169555664
,,,"binoculars, field glasses, opera glasses",9.359375
,,,espresso maker,9.203125
,,,trench coat,9.046875
,,,"promontory, headland, head, foreland",8.8671875
,,,"sea anemone, anemone",8.84375
mobilenet_v1_1.0_160_quant,label,0.00634765625
,,,"binoculars, field glasses, opera glasses",9.5078125
,,,window shade,8.9765625
,,,trench coat,8.7734375
,,,"sea anemone, anemone",8.328125
,,,"flatworm, platyhelminth",8.03125
mobilenet_v1_1.0_160_quant,label,0.005671262741088867
,,,espresso maker,10.2421875
,,,"binoculars, field glasses, opera glasses",9.7265625
,,,trench coat,9.65625
,,,"jinrikisha, ricksha, rickshaw",8.359375
,,,digital watch,8.3203125
mobilenet_v1_1.0_160_quant,label,0.0058879852294921875
,,,window shade,9.515625
,,,"sea anemone, anemone",9.359375
,,,trench coat,9.3125
,,,espresso maker,8.9296875
,,,"binoculars, field glasses, opera glasses",8.7890625
mobilenet_v1_1.0_160_quant,label,0.005673408508300781
,,,trench coat,9.328125
,,,"binoculars, field glasses, opera glasses",9.15625
,,,window shade,8.6796875
,,,espresso maker,8.5546875
,,,"flatworm, platyhelminth",8.296875
mobilenet_v1_1.0_160_quant,label,0.00577092170715332
,,,espresso maker,10.0234375
,,,"binoculars, field glasses, opera glasses",9.6015625
