"ModelName","Label","InferenceTime","Recognition","Accuracy"
mobilenet_v3_1.0_224_quant_small,label,0.016618728637695312
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.011712789535522461
,,,"slide rule, slipstick",508.0
,,,coral fungus,432.75
,,,"warplane, military plane",427.25
,,,"stupa, tope",424.5
,,,bustard,421.75
mobilenet_v3_1.0_224_quant_small,label,0.011550664901733398
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.011946678161621094
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.011043787002563477
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.00913691520690918
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.008913040161132812
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.010776519775390625
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.011324405670166016
,,,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",565.5
,,,"slide rule, slipstick",488.5
,,,Band Aid,469.25
,,,"tiger, Panthera tigris",469.25
,,,"grey fox, gray fox, Urocyon cinereoargenteus",435.0
mobilenet_v3_1.0_224_quant_small,label,0.01121068000793457
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.01270294189453125
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.011640787124633789
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.014382600784301758
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.009319782257080078
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.013485431671142578
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.011223077774047852
,,,"slide rule, slipstick",461.5
,,,coral fungus,386.75
,,,"warplane, military plane",381.0
,,,cannon,378.5
,,,"pencil box, pencil case",378.0
mobilenet_v3_1.0_224_quant_small,label,0.011371612548828125
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.011209726333618164
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.013474464416503906
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.013024568557739258
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.012169122695922852
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.014499902725219727
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.011380910873413086
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.01148366928100586
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.011114835739135742
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.01223301887512207
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.013949871063232422
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.011604785919189453
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.011583805084228516
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_quant_small,label,0.014704227447509766
,,,background,-inf
,,,sea urchin,-inf
,,,"hog, pig, grunter, squealer, Sus scrofa",-inf
,,,zebra,-inf
,,,sorrel,-inf
mobilenet_v3_1.0_224_small,label,0.016815185546875
,,,background,-inf
,,,sea urchin,-inf
