ModelName,Label,InferenceTime,Recognition,Accuracy
mobilenet_v2_1.0_224_quant,label,0.01572704315185547
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.01573634147644043
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.0157010555267334
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016339778900146484
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016143798828125
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016077756881713867
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.01603221893310547
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.01606273651123047
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.01604771614074707
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016053199768066406
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016210317611694336
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016180992126464844
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.01618790626525879
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016071081161499023
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016392946243286133
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016327857971191406
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.01630234718322754
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016039609909057617
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016103267669677734
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.01618337631225586
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016025066375732422
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.01605057716369629
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.01639413833618164
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016371488571166992
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.01635122299194336
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016133546829223633
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016157865524291992
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016147375106811523
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.01609969139099121
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016163110733032227
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016231775283813477
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016415834426879883
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.0162198543548584
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.0161592960357666
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.0161893367767334
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.01617145538330078
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016173601150512695
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016191720962524414
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.016045331954956055
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_1.0_224_quant,label,0.01617288589477539
,,,match,17
,,,velvet,16
,,,digital clock,6
,,,wing,4
,,,nematode,4
mobilenet_v2_0.5_192_quant,label,0.006426811218261719
,,,background,1
,,,mailbox,1
,,,library,1
,,,Briard,1
,,,lighter,1
mobilenet_v2_0.5_192_quant,label,0.006617307662963867
,,,background,1
,,,mailbox,1
,,,library,1
,,,Briard,1
,,,lighter,1
mobilenet_v2_0.5_192_quant,label,0.006443500518798828
,,,background,1
,,,mailbox,1
,,,library,1
,,,Briard,1
,,,lighter,1
mobilenet_v2_0.5_192_quant,label,0.006279945373535156
,,,background,1
,,,mailbox,1
,,,library,1
,,,Briard,1
,,,lighter,1
mobilenet_v2_0.5_192_quant,label,0.0065004825592041016
,,,background,1
,,,mailbox,1
,,,library,1
,,,Briard,1
,,,lighter,1
mobilenet_v2_0.5_192_quant,label,0.006365537643432617
,,,background,1
,,,mailbox,1
,,,library,1
,,,Briard,1
,,,lighter,1
mobilenet_v2_0.5_192_quant,label,0.006417989730834961
,,,background,1
,,,mailbox,1
,,,library,1
,,,Briard,1
,,,lighter,1
mobilenet_v2_0.5_192_quant,label,0.0064465999603271484
,,,background,1
,,,mailbox,1
,,,library,1
,,,Briard,1
