ModelName,Label,InferenceTime,Recognition,Accuracy
mobilenet_v2_1.0_160,label,0.07541036605834961
,,,digital clock,5.7398024
,,,nematode,5.2392497
,,,match,4.9502573
,,,velvet,4.5470133
,,,barn spider,3.8921883
mobilenet_v2_1.0_160,label,0.07596015930175781
,,,digital clock,5.75246
,,,nematode,5.2421017
,,,match,4.9481544
,,,velvet,4.5584536
,,,barn spider,3.9175043
mobilenet_v2_1.0_160,label,0.07051706314086914
,,,digital clock,5.7781763
,,,nematode,5.233807
,,,match,4.965273
,,,velvet,4.523014
,,,barn spider,3.9055026
mobilenet_v2_1.0_160,label,0.07562446594238281
,,,digital clock,5.726719
,,,nematode,5.2130485
,,,match,4.950694
,,,velvet,4.5185113
,,,barn spider,3.8880024
mobilenet_v2_1.0_160,label,0.07300734519958496
,,,digital clock,5.7345767
,,,nematode,5.2290254
,,,match,4.938507
,,,velvet,4.5491223
,,,barn spider,3.9098027
mobilenet_v2_1.0_160,label,0.08115363121032715
,,,digital clock,5.7664227
,,,nematode,5.2480493
,,,match,4.9677534
,,,velvet,4.5489483
,,,barn spider,3.9124644
mobilenet_v2_1.0_160,label,0.07213807106018066
,,,digital clock,5.736949
,,,nematode,5.2404914
,,,match,4.9277916
,,,velvet,4.566576
,,,barn spider,3.9047935
mobilenet_v2_1.0_160,label,0.07499980926513672
,,,digital clock,5.768592
,,,nematode,5.251229
,,,match,4.996686
,,,velvet,4.5465813
,,,barn spider,3.9242868
mobilenet_v2_1.0_160,label,0.07502388954162598
,,,digital clock,5.7525735
,,,nematode,5.240866
,,,match,4.955014
,,,velvet,4.5543423
,,,barn spider,3.9174905
mobilenet_v2_1.0_160,label,0.06993246078491211
,,,digital clock,5.7598753
,,,nematode,5.244069
,,,match,4.964694
,,,velvet,4.5316
,,,barn spider,3.9224887
mobilenet_v2_1.0_160,label,0.0763082504272461
,,,digital clock,5.7601504
,,,nematode,5.25334
,,,match,4.943302
,,,velvet,4.5597687
,,,barn spider,3.9133177
mobilenet_v2_1.0_160,label,0.06978702545166016
,,,digital clock,5.778297
,,,nematode,5.2433386
,,,match,4.9575424
,,,velvet,4.5301228
,,,barn spider,3.9145043
mobilenet_v2_1.0_160,label,0.07427644729614258
,,,digital clock,5.734478
,,,nematode,5.228646
,,,match,4.965068
,,,velvet,4.5514646
,,,barn spider,3.9012754
mobilenet_v2_1.0_160,label,0.07515072822570801
,,,digital clock,5.7605605
,,,nematode,5.2470183
,,,match,4.949835
,,,velvet,4.5270963
,,,barn spider,3.901264
mobilenet_v2_1.0_160,label,0.0745844841003418
,,,digital clock,5.746931
,,,nematode,5.2328
,,,match,4.957614
,,,velvet,4.5497613
,,,barn spider,3.9059846
mobilenet_v2_1.0_160,label,0.07285952568054199
,,,digital clock,5.738814
,,,nematode,5.240379
,,,match,4.9634714
,,,velvet,4.565268
,,,barn spider,3.90752
mobilenet_v2_1.0_160,label,0.07613325119018555
,,,digital clock,5.738789
,,,nematode,5.215241
,,,match,4.967683
,,,velvet,4.525337
,,,barn spider,3.9124637
mobilenet_v2_1.0_160,label,0.06382203102111816
,,,digital clock,5.7227306
,,,nematode,5.22584
,,,match,4.923148
,,,velvet,4.548146
,,,barn spider,3.89083
mobilenet_v2_1.0_160,label,0.07343816757202148
,,,digital clock,5.76869
,,,nematode,5.2373977
,,,match,4.9558325
,,,velvet,4.5202446
,,,barn spider,3.9098802
mobilenet_v2_1.0_160,label,0.07915234565734863
,,,digital clock,5.767707
,,,nematode,5.250122
,,,match,4.9786005
,,,velvet,4.562378
,,,barn spider,3.9215662
mobilenet_v2_1.0_160,label,0.07605242729187012
,,,digital clock,5.7731256
,,,nematode,5.2439446
,,,match,4.982051
,,,velvet,4.5382013
,,,barn spider,3.9115767
mobilenet_v2_1.0_160,label,0.07141494750976562
,,,digital clock,5.7477393
,,,nematode,5.2360654
,,,match,4.9626427
,,,velvet,4.530629
,,,barn spider,3.8920977
mobilenet_v2_1.0_160,label,0.07487201690673828
,,,digital clock,5.7635517
,,,nematode,5.250755
,,,match,4.9509068
,,,velvet,4.5360847
,,,barn spider,3.90738
mobilenet_v2_1.0_160,label,0.07538008689880371
,,,digital clock,5.747982
,,,nematode,5.223255
,,,match,4.960581
,,,velvet,4.5287
,,,barn spider,3.8943772
mobilenet_v2_1.0_160,label,0.07243108749389648
,,,digital clock,5.7376704
,,,nematode,5.2482376
,,,match,4.979908
,,,velvet,4.5559278
,,,barn spider,3.9088936
mobilenet_v2_1.0_160,label,0.07392597198486328
,,,digital clock,5.779902
,,,nematode,5.2277665
,,,match,4.961529
,,,velvet,4.5119343
,,,barn spider,3.9112856
mobilenet_v2_1.0_160,label,0.07550430297851562
,,,digital clock,5.7457647
,,,nematode,5.2233653
,,,match,4.9459295
,,,velvet,4.5150127
,,,barn spider,3.882649
mobilenet_v2_1.0_160,label,0.06856298446655273
,,,digital clock,5.760897
,,,nematode,5.2396626
,,,match,4.9771633
,,,velvet,4.559186
,,,barn spider,3.9143896
mobilenet_v2_1.0_160,label,0.07680296897888184
,,,digital clock,5.795713
,,,nematode,5.2616906
,,,match,4.9790564
,,,velvet,4.5463705
,,,barn spider,3.9237792
mobilenet_v2_1.0_160,label,0.07395124435424805
,,,digital clock,5.745399
,,,nematode,5.228943
,,,match,4.951297
,,,velvet,4.539563
,,,barn spider,3.9015567
mobilenet_v2_1.0_160,label,0.07660698890686035
,,,digital clock,5.786456
,,,nematode,5.2558837
,,,match,4.992798
,,,velvet,4.5380373
,,,barn spider,3.894964
mobilenet_v2_1.0_160,label,0.07160258293151855
,,,digital clock,5.7526593
,,,nematode,5.2173905
,,,match,4.97416
,,,velvet,4.5241394
,,,barn spider,3.9069796
mobilenet_v2_1.0_160,label,0.06926846504211426
,,,digital clock,5.784584
,,,nematode,5.2576632
,,,match,4.9895544
,,,velvet,4.523266
,,,barn spider,3.9029517
mobilenet_v2_1.0_160,label,0.07588028907775879
,,,digital clock,5.7507734
,,,nematode,5.224925
,,,match,4.944195
,,,velvet,4.533252
,,,barn spider,3.9127333
mobilenet_v2_1.0_160,label,0.0728306770324707
,,,digital clock,5.736311
,,,nematode,5.247826
,,,match,4.9235725
,,,velvet,4.5795474
,,,barn spider,3.9136186
mobilenet_v2_1.0_160,label,0.07142496109008789
,,,digital clock,5.754347
,,,nematode,5.250118
,,,match,4.9340887
,,,velvet,4.549944
,,,barn spider,3.9105337
mobilenet_v2_1.0_160,label,0.07451963424682617
,,,digital clock,5.745726
,,,nematode,5.2338076
,,,match,4.9518576
,,,velvet,4.537798
,,,barn spider,3.90476
mobilenet_v2_1.0_160,label,0.07286453247070312
,,,digital clock,5.7509475
,,,nematode,5.2358055
,,,match,4.925226
,,,velvet,4.527407
,,,barn spider,3.913434
mobilenet_v2_1.0_160,label,0.07271170616149902
,,,digital clock,5.768274
,,,nematode,5.2358007
,,,match,4.9918604
,,,velvet,4.5386434
,,,barn spider,3.900364
mobilenet_v2_1.0_160,label,0.07330656051635742
,,,digital clock,5.7507367
,,,nematode,5.2319856
,,,match,4.9390755
,,,velvet,4.559543
,,,barn spider,3.906393
mobilenet_v2_1.4_224_quant,label,0.47510719299316406
,,,velvet,4.6094813
,,,Otterhound,4.4583507
,,,wing,4.3827853
,,,digital clock,4.3827853
,,,match,4.1560893
mobilenet_v2_1.4_224_quant,label,0.44342994689941406
,,,velvet,4.685046
,,,Otterhound,4.533916
,,,digital clock,4.3827853
,,,wing,4.30722
,,,match,4.1560893
mobilenet_v2_1.4_224_quant,label,0.4480559825897217
,,,velvet,4.685046
,,,Otterhound,4.4583507
,,,wing,4.3827853
,,,digital clock,4.3827853
,,,match,4.2316546
mobilenet_v2_1.4_224_quant,label,0.4588754177093506
,,,velvet,4.6094813
,,,Otterhound,4.3827853
,,,wing,4.3827853
,,,digital clock,4.3827853
,,,match,4.1560893
mobilenet_v2_1.4_224_quant,label,0.45194315910339355
,,,velvet,4.685046
,,,Otterhound,4.4583507
,,,digital clock,4.3827853
,,,wing,4.3827853
,,,match,4.30722
mobilenet_v2_1.4_224_quant,label,0.4538555145263672
,,,velvet,4.6094813
,,,Otterhound,4.4583507
,,,digital clock,4.3827853
,,,wing,4.30722
,,,match,4.2316546
mobilenet_v2_1.4_224_quant,label,0.49029994010925293
,,,velvet,4.533916
,,,Otterhound,4.4583507
,,,digital clock,4.3827853
,,,wing,4.3827853
,,,spotlight,4.2316546
mobilenet_v2_1.4_224_quant,label,0.4683239459991455
,,,velvet,4.685046
,,,Otterhound,4.533916
,,,digital clock,4.3827853
,,,wing,4.3827853
,,,match,4.2316546
mobilenet_v2_1.4_224_quant,label,0.46562838554382324
,,,velvet,4.685046
,,,Otterhound,4.533916
,,,digital clock,4.3827853
,,,wing,4.3827853
,,,match,4.2316546
mobilenet_v2_1.4_224_quant,label,0.4544823169708252
,,,velvet,4.533916
,,,digital clock,4.3827853
