"ModelName","Label","InferenceTime","Recognition","Accuracy"
mobilenet_v3_1.0_224_small_uint8,label,0.3594224452972412
,,,digital clock,5.6607413
,,,spotlight,5.346256
,,,nematode,4.717284
,,,match,4.245556
,,,window screen,3.6165848
mobilenet_v3_1.0_224_small_uint8,label,0.3594224452972412
,,,spotlight,5.2676344
,,,digital clock,5.2676344
,,,nematode,4.088313
,,,match,4.0096917
,,,window screen,3.459342
mobilenet_v3_1.0_224_small_uint8,label,0.3594224452972412
,,,digital clock,5.58212
,,,spotlight,4.9531484
,,,nematode,4.4027987
,,,window screen,3.852449
,,,oscilloscope,3.7738276
mobilenet_v3_1.0_224_small_uint8,label,0.3594224452972412
,,,digital clock,5.2676344
,,,spotlight,5.0317698
,,,nematode,4.088313
,,,match,3.9310703
,,,window screen,3.6952062
mobilenet_v3_1.0_224_small_uint8,label,0.36995434761047363
,,,digital clock,5.7393627
,,,spotlight,4.874527
,,,nematode,4.638663
,,,oscilloscope,4.088313
,,,window screen,3.9310703
mobilenet_v3_1.0_224_small_uint8,label,0.36995434761047363
,,,digital clock,5.5034986
,,,spotlight,5.424877
,,,nematode,4.4027987
,,,match,3.852449
,,,window screen,3.7738276
mobilenet_v3_1.0_224_small_uint8,label,0.36995434761047363
,,,digital clock,5.424877
,,,spotlight,5.1890125
,,,nematode,4.4027987
,,,match,4.088313
,,,wing,3.5379634
mobilenet_v3_1.0_224_small_uint8,label,0.36995434761047363
,,,digital clock,5.7393627
,,,spotlight,5.5034986
,,,nematode,4.7959056
,,,window screen,3.9310703
,,,match,3.852449
mobilenet_v3_1.0_224_small_uint8,label,0.3880641460418701
,,,digital clock,5.58212
,,,spotlight,5.110391
,,,nematode,4.3241773
,,,oscilloscope,3.852449
,,,match,3.852449
mobilenet_v3_1.0_224_small_uint8,label,0.3880641460418701
,,,digital clock,5.5034986
,,,spotlight,5.110391
,,,nematode,4.5600414
,,,match,4.3241773
,,,wing,3.6165848
mobilenet_v3_1.0_224_small_uint8,label,0.3880641460418701
,,,digital clock,5.6607413
,,,spotlight,5.0317698
,,,nematode,4.1669345
,,,match,4.088313
,,,window screen,3.9310703
mobilenet_v3_1.0_224_small_uint8,label,0.3880641460418701
,,,digital clock,5.7393627
,,,spotlight,5.110391
,,,nematode,4.4027987
,,,window screen,4.3241773
,,,oscilloscope,4.245556
mobilenet_v3_1.0_224_small_uint8,label,0.36778879165649414
,,,digital clock,5.5034986
,,,spotlight,4.9531484
,,,nematode,4.4027987
,,,oscilloscope,3.7738276
,,,window screen,3.7738276
mobilenet_v3_1.0_224_small_uint8,label,0.36778879165649414
,,,digital clock,5.424877
,,,spotlight,5.1890125
,,,window screen,4.0096917
,,,match,3.9310703
,,,nematode,3.9310703
mobilenet_v3_1.0_224_small_uint8,label,0.36778879165649414
,,,digital clock,5.424877
,,,spotlight,5.1890125
,,,nematode,4.245556
,,,match,3.9310703
,,,window screen,3.7738276
mobilenet_v3_1.0_224_small_uint8,label,0.36778879165649414
,,,digital clock,5.424877
,,,spotlight,5.1890125
,,,nematode,4.245556
,,,window screen,3.852449
,,,match,3.6952062
mobilenet_v3_1.0_224_small_uint8,label,0.3870549201965332
,,,digital clock,5.5034986
,,,spotlight,5.0317698
,,,nematode,4.3241773
,,,match,3.7738276
,,,window screen,3.6952062
mobilenet_v3_1.0_224_small_uint8,label,0.3870549201965332
,,,digital clock,5.5034986
,,,spotlight,4.9531484
,,,nematode,4.7959056
,,,match,3.9310703
,,,window screen,3.5379634
mobilenet_v3_1.0_224_small_uint8,label,0.3870549201965332
,,,digital clock,5.7393627
,,,spotlight,5.5034986
,,,nematode,4.3241773
,,,window screen,4.1669345
,,,oscilloscope,4.1669345
mobilenet_v3_1.0_224_small_uint8,label,0.3870549201965332
,,,digital clock,5.5034986
,,,spotlight,4.9531484
,,,nematode,4.1669345
,,,window screen,4.088313
,,,match,4.0096917
mobilenet_v3_1.0_224_small_uint8,label,0.38287997245788574
,,,digital clock,5.424877
,,,spotlight,5.346256
,,,nematode,4.245556
,,,match,4.0096917
