ModelName,Label,InferenceTime,Recognition,Accuracy
mobilenet_v2_1.0_128_quant,label,0.07382532933710953
,,,nematode,5.445591
,,,digital clock,4.3077064
,,,barn spider,3.8200414
,,,match,3.3323765
,,,jack-o'-lantern,3.251099
mobilenet_v2_1.0_128_quant,label,0.07277585330284125
,,,nematode,5.445591
,,,digital clock,4.3077064
,,,barn spider,3.901319
,,,match,3.576209
,,,red wine,3.413654
mobilenet_v2_1.0_128_quant,label,0.07407318094689841
,,,nematode,5.526869
,,,digital clock,4.1451516
,,,barn spider,3.8200414
,,,match,3.4949315
,,,red wine,3.413654
mobilenet_v2_1.0_128_quant,label,0.07120131951369131
,,,nematode,5.3643136
,,,digital clock,4.470261
,,,barn spider,3.901319
,,,match,3.413654
,,,red wine,3.3323765
mobilenet_v2_1.0_128_quant,label,0.07300975100232823
,,,nematode,5.445591
,,,digital clock,4.3077064
,,,barn spider,3.901319
,,,match,3.413654
,,,tennis ball,3.1698215
mobilenet_v2_1.0_128_quant,label,0.07133346456678252
,,,nematode,5.283036
,,,digital clock,4.3077064
,,,barn spider,3.9825964
,,,match,3.4949315
,,,red wine,3.251099
mobilenet_v2_1.0_128_quant,label,0.07435114817077337
,,,nematode,5.3643136
,,,digital clock,4.3077064
,,,barn spider,3.8200414
,,,match,3.576209
,,,red wine,3.3323765
mobilenet_v2_1.0_128_quant,label,0.07442103322431448
,,,nematode,5.283036
,,,digital clock,4.226429
,,,barn spider,3.901319
,,,match,3.413654
,,,red wine,3.3323765
mobilenet_v2_1.0_128_quant,label,0.07402569865185028
,,,nematode,5.445591
,,,digital clock,4.3077064
,,,barn spider,3.8200414
,,,jack-o'-lantern,3.413654
,,,match,3.413654
mobilenet_v2_1.0_128_quant,label,0.0736868939447395
,,,nematode,5.526869
,,,digital clock,4.226429
,,,barn spider,3.8200414
,,,match,3.3323765
,,,jack-o'-lantern,3.3323765
mobilenet_v2_1.0_128_quant,label,0.07303679612536355
,,,nematode,5.526869
,,,digital clock,4.3077064
,,,barn spider,3.901319
,,,match,3.413654
,,,red wine,3.251099
mobilenet_v2_1.0_128_quant,label,0.07170495099376029
,,,nematode,5.445591
,,,digital clock,4.226429
,,,barn spider,3.8200414
,,,jack-o'-lantern,3.3323765
,,,match,3.3323765
mobilenet_v2_1.0_128_quant,label,0.07341006853444093
,,,nematode,5.445591
,,,digital clock,4.226429
,,,barn spider,3.8200414
,,,match,3.3323765
,,,red wine,3.3323765
mobilenet_v2_1.0_128_quant,label,0.07239066871033702
,,,nematode,5.445591
,,,digital clock,4.226429
,,,barn spider,3.8200414
,,,match,3.4949315
