"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_v1_0.25_128","leopard","0.005","",""
"","","","jaguar","0.7626351"
"","","","leopard","0.21810056"
"","","","cheetah","0.015673721"
"","","","snow leopard","0.0024680044"
"","","","dalmatian","3.4994367E-4"
"mobilenet_v1_0.25_128","leopard","0.003","",""
"","","","grey fox","0.1437758"
"","","","leopard","0.12895873"
"","","","fox squirrel","0.10895732"
"","","","mongoose","0.10091927"
"","","","Indian cobra","0.0838321"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","grey fox","0.4987754"
"","","","cheetah","0.2140457"
"","","","coyote","0.18584467"
"","","","prairie chicken","0.007906451"
"","","","timber wolf","0.006849331"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","snow leopard","0.19620498"
"","","","leopard","0.10730833"
"","","","axolotl","0.06463696"
"","","","bullfrog","0.038998235"
"","","","American alligator","0.0367246"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","leopard","0.5884137"
"","","","jaguar","0.28173658"
"","","","cheetah","0.11618443"
"","","","whiptail","0.008036842"
"","","","Gila monster","0.001930559"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","cheetah","0.8899778"
"","","","leopard","0.05282011"
"","","","jaguar","0.026093991"
"","","","Indian cobra","0.01030254"
"","","","ruffed grouse","0.0053494107"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","snow leopard","0.8890397"
"","","","cheetah","0.0358928"
"","","","hyena","0.02492522"
"","","","leopard","0.013166675"
"","","","lynx","0.0074120634"
"mobilenet_v1_0.25_128","leopard","0.003","",""
"","","","lynx","0.63634825"
"","","","cheetah","0.14537977"
"","","","Egyptian cat","0.1430223"
"","","","leopard","0.034959923"
"","","","snow leopard","0.013098273"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","leopard","0.8330668"
"","","","cheetah","0.079202384"
"","","","jaguar","0.0566641"
"","","","ptarmigan","0.010102146"
"","","","prairie chicken","0.0039910264"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","apiary","0.077981904"
"","","","ballplayer","0.06090919"
"","","","marimba","0.060005356"
"","","","jigsaw puzzle","0.04847981"
"","","","marmoset","0.023769362"
"mobilenet_v1_0.25_128","lion","0.002","",""
"","","","African hunting dog","0.6760307"
"","","","lion","0.106948495"
"","","","kit fox","0.01821136"
"","","","hyena","0.014979055"
"","","","red fox","0.01465817"
"mobilenet_v1_0.25_128","lion","0.001","",""
"","","","lynx","0.6118479"
"","","","lion","0.10169475"
"","","","coyote","0.06707749"
"","","","hare","0.04800331"
"","","","timber wolf","0.022356892"
"mobilenet_v1_0.25_128","lion","0.002","",""
"","","","lion","0.983649"
"","","","chow","0.015519411"
"","","","gibbon","2.8295972E-4"
"","","","Pomeranian","1.5176728E-4"
"","","","Tibetan mastiff","7.5839685E-5"
"mobilenet_v1_0.25_128","lion","0.002","",""
"","","","Irish terrier","0.15902047"
"","","","Norfolk terrier","0.13840467"
"","","","Airedale","0.090714775"
"","","","soft-coated wheaten terrier","0.07139316"
"","","","Norwich terrier","0.06702042"
"mobilenet_v1_0.25_128","lion","0.002","",""
"","","","lion","0.54683244"
"","","","macaque","0.11926589"
"","","","baboon","0.11162942"
"","","","brown bear","0.037356745"
"","","","gorilla","0.037256125"
"mobilenet_v1_0.25_128","lion","0.002","",""
"","","","lion","0.15935072"
"","","","wild boar","0.107105926"
"","","","dhole","0.050760042"
"","","","African hunting dog","0.049039308"
"","","","leopard","0.039840188"
"mobilenet_v1_0.25_128","lion","0.002","",""
"","","","macaque","0.15514533"
"","","","baboon","0.06973794"
"","","","lion","0.06527357"
"","","","Norfolk terrier","0.052777585"
"","","","golden retriever","0.03908141"
"mobilenet_v1_0.25_128","lion","0.001","",""
"","","","impala","0.13764368"
"","","","lion","0.10020364"
"","","","bighorn","0.073521644"
"","","","gazelle","0.062378027"
"","","","Saluki","0.053938136"
"mobilenet_v1_0.25_128","lion","0.002","",""
"","","","lion","0.478528"
"","","","warthog","0.26352984"
"","","","tusker","0.035580635"
"","","","African elephant","0.03181705"
"","","","bison","0.024158757"
"mobilenet_v1_0.25_128","lion","0.001","",""
"","","","ram","0.3225181"
"","","","bighorn","0.23953708"
"","","","Arabian camel","0.098538786"
"","","","ox","0.05224021"
"","","","oxcart","0.03523364"
"mobilenet_v1_0.25_128","bee","0.002","",""
"","","","cockroach","0.42563"
"","","","ant","0.05909335"
"","","","dragonfly","0.053545225"
"","","","tick","0.0333226"
"","","","chime","0.03188157"
"mobilenet_v1_0.25_128","bee","0.002","",""
"","","","cabbage butterfly","0.23583856"
"","","","bee","0.0957129"
"","","","monarch","0.05257346"
"","","","necklace","0.051022053"
"","","","sax","0.033790223"
"mobilenet_v1_0.25_128","bee","0.002","",""
"","","","hip","0.25133306"
"","","","daisy","0.17178781"
"","","","cabbage butterfly","0.07027193"
"","","","buckeye","0.032289304"
"","","","bee","0.026953148"
"mobilenet_v1_0.25_128","bee","0.002","",""
"","","","bee","0.49637598"
"","","","cardoon","0.4417504"
"","","","monarch","0.019386737"
"","","","fly","0.016584221"
"","","","sulphur butterfly","0.007440316"
"mobilenet_v1_0.25_128","bee","0.002","",""
"","","","bee","0.22629014"
"","","","wolf spider","0.1435603"
"","","","fly","0.087120645"
"","","","garden spider","0.061664246"
"","","","ant","0.056394238"
"mobilenet_v1_0.25_128","bee","0.001","",""
"","","","ladybug","0.25781816"
"","","","monarch","0.1355835"
"","","","dragonfly","0.111782975"
"","","","garden spider","0.060579702"
"","","","black and gold garden spider","0.034525767"
"mobilenet_v1_0.25_128","bee","0.002","",""
"","","","isopod","0.27175"
"","","","hermit_crab","0.19361992"
"","","","fly","0.14954641"
"","","","scorpion","0.12399229"
"","","","cicada","0.09246234"
"mobilenet_v1_0.25_128","bee","0.002","",""
"","","","bee","0.48839295"
"","","","fly","0.17013562"
"","","","hummingbird","0.13318703"
"","","","ringlet","0.038262725"
"","","","dragonfly","0.016316585"
"mobilenet_v1_0.25_128","bee","0.002","",""
"","","","honeycomb","0.32151347"
"","","","apiary","0.29952922"
"","","","jackfruit","0.07275583"
"","","","bullfrog","0.040009163"
"","","","tailed frog","0.028047277"
"mobilenet_v1_0.25_128","bee","0.001","",""
"","","","fiddler crab","0.13279058"
"","","","ant","0.12318082"
"","","","centipede","0.10591937"
"","","","wolf spider","0.092565216"
"","","","ladybug","0.09082974"
"mobilenet_v1_0.25_128","daisy","0.002","",""
"","","","mushroom","0.257943"
"","","","stinkhorn","0.19472955"
"","","","agaric","0.11947569"
"","","","daisy","0.098269686"
"","","","bolete","0.045889452"
"mobilenet_v1_0.25_128","daisy","0.001","",""
"","","","daisy","0.99976736"
"","","","bee","9.3818104E-5"
"","","","cabbage butterfly","7.6009914E-5"
"","","","sulphur butterfly","1.9125015E-5"
"","","","pot","6.119348E-6"
"mobilenet_v1_0.25_128","daisy","0.001","",""
"","","","daisy","0.92449504"
"","","","sea anemone","0.014179017"
"","","","bee","0.012432458"
"","","","pot","0.005427564"
"","","","cabbage butterfly","0.0048282845"
