"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_v2_0.35_128","leopard","0.005","",""
"","","","jaguar","0.5683594"
"","","","leopard","0.33129883"
"","","","snow leopard","0.032165527"
"","","","cheetah","0.014221191"
"","","","tiger","0.008361816"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","leopard","0.62353516"
"","","","cheetah","0.27026367"
"","","","jaguar","0.026763916"
"","","","puffer","0.013198853"
"","","","prairie chicken","0.0029678345"
"mobilenet_v2_0.35_128","leopard","0.005","",""
"","","","leopard","0.6401367"
"","","","jaguar","0.06048584"
"","","","cheetah","0.035980225"
"","","","snow leopard","0.027374268"
"","","","lynx","0.02041626"
"mobilenet_v2_0.35_128","leopard","0.005","",""
"","","","leopard","0.4267578"
"","","","zebra","0.09088135"
"","","","cheetah","0.060516357"
"","","","tusker","0.027069092"
"","","","quail","0.023513794"
"mobilenet_v2_0.35_128","leopard","0.005","",""
"","","","Egyptian cat","0.43701172"
"","","","lynx","0.22583008"
"","","","cheetah","0.0670166"
"","","","jaguar","0.015487671"
"","","","grey fox","0.013046265"
"mobilenet_v2_0.35_128","leopard","0.005","",""
"","","","leopard","0.4416504"
"","","","cheetah","0.13366699"
"","","","snow leopard","0.08831787"
"","","","jaguar","0.06689453"
"","","","lynx","0.052947998"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","hyena","0.38354492"
"","","","jaguar","0.095825195"
"","","","triceratops","0.07348633"
"","","","leopard","0.059509277"
"","","","lynx","0.045288086"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","jaguar","0.5517578"
"","","","leopard","0.38500977"
"","","","cheetah","0.017120361"
"","","","snow leopard","0.007926941"
"","","","lynx","0.0023994446"
"mobilenet_v2_0.35_128","leopard","0.005","",""
"","","","leopard","0.34350586"
"","","","snow leopard","0.32250977"
"","","","lynx","0.1809082"
"","","","cheetah","0.018203735"
"","","","great grey owl","0.015327454"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","leopard","0.53466797"
"","","","ruffed grouse","0.030639648"
"","","","quail","0.026412964"
"","","","eel","0.022857666"
"","","","cheetah","0.02041626"
"mobilenet_v2_0.35_128","lion","0.006","",""
"","","","lion","0.7470703"
"","","","dhole","0.06060791"
"","","","dingo","0.04574585"
"","","","cougar","0.021026611"
"","","","red wolf","0.016830444"
"mobilenet_v2_0.35_128","lion","0.004","",""
"","","","dingo","0.19885254"
"","","","lion","0.13146973"
"","","","cougar","0.11779785"
"","","","red wolf","0.040863037"
"","","","Arabian camel","0.039001465"
"mobilenet_v2_0.35_128","lion","0.004","",""
"","","","lion","0.8310547"
"","","","lynx","0.032989502"
"","","","Norfolk terrier","0.014633179"
"","","","Norwich terrier","0.007774353"
"","","","cougar","0.006752014"
"mobilenet_v2_0.35_128","lion","0.004","",""
"","","","lion","0.18127441"
"","","","bison","0.10864258"
"","","","bloodhound","0.10369873"
"","","","Chesapeake Bay retriever","0.046173096"
"","","","brown bear","0.01802063"
"mobilenet_v2_0.35_128","lion","0.007","",""
"","","","warthog","0.32250977"
"","","","wild boar","0.20983887"
"","","","lion","0.12237549"
"","","","hog","0.031188965"
"","","","water buffalo","0.031188965"
"mobilenet_v2_0.35_128","lion","0.006","",""
"","","","lion","0.68408203"
