"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_v2_0.35_128","leopard","0.01","",""
"","","","jaguar","0.78453004"
"","","","leopard","0.13647006"
"","","","cheetah","0.007822495"
"","","","Gila monster","0.0041894466"
"","","","dalmatian","0.0021784904"
"mobilenet_v2_0.35_128","leopard","0.008","",""
"","","","leopard","0.52898544"
"","","","jaguar","0.39573258"
"","","","cheetah","0.03830383"
"","","","snow leopard","0.01211874"
"","","","hen-of-the-woods","0.0025282842"
"mobilenet_v2_0.35_128","leopard","0.007","",""
"","","","leopard","0.3089976"
"","","","jaguar","0.2402582"
"","","","cheetah","0.16487275"
"","","","snow leopard","0.08499911"
"","","","lynx","0.014928281"
"mobilenet_v2_0.35_128","leopard","0.007","",""
"","","","leopard","0.06834061"
"","","","jaguar","0.060877606"
"","","","cheetah","0.05087099"
"","","","green lizard","0.03459679"
"","","","ruffed grouse","0.028527223"
"mobilenet_v2_0.35_128","leopard","0.006","",""
"","","","leopard","0.6454193"
"","","","jaguar","0.05900738"
"","","","cheetah","0.034217503"
"","","","snow leopard","0.028439334"
"","","","lynx","0.019868001"
"mobilenet_v2_0.35_128","leopard","0.007","",""
"","","","leopard","0.5324055"
"","","","jaguar","0.22099026"
"","","","cheetah","0.029211678"
"","","","honeycomb","0.019252313"
"","","","eel","0.015668284"
"mobilenet_v2_0.35_128","leopard","0.007","",""
"","","","jaguar","0.57392067"
"","","","leopard","0.31936428"
"","","","snow leopard","0.033462353"
"","","","cheetah","0.014549925"
"","","","tiger","0.008890524"
"mobilenet_v2_0.35_128","leopard","0.007","",""
"","","","leopard","0.58161306"
"","","","jaguar","0.38206828"
"","","","cheetah","0.020838248"
"","","","snow leopard","6.675432E-4"
"","","","tiger","3.955602E-4"
"mobilenet_v2_0.35_128","leopard","0.007","",""
"","","","leopard","0.44625792"
"","","","cheetah","0.13540523"
"","","","snow leopard","0.084239356"
"","","","jaguar","0.067702524"
"","","","lynx","0.05125221"
"mobilenet_v2_0.35_128","leopard","0.006","",""
"","","","jaguar","0.20179945"
"","","","leopard","0.14467809"
"","","","box turtle","0.03390555"
"","","","monarch","0.029248405"
"","","","common_iguana","0.02168573"
"mobilenet_v2_0.35_128","lion","0.007","",""
"","","","lion","0.13293989"
"","","","chow","0.059199255"
"","","","cocker spaniel","0.054682527"
"","","","marmot","0.04613381"
"","","","toy poodle","0.03899425"
"mobilenet_v2_0.35_128","lion","0.006","",""
"","","","lion","0.9750656"
"","","","lynx","0.0050093774"
"","","","cheetah","0.004114766"
"","","","dhole","0.0021306654"
"","","","leopard","0.0011950689"
"mobilenet_v2_0.35_128","lion","0.008","",""
"","","","Norwich terrier","0.092655435"
"","","","Leonberg","0.07778417"
"","","","timber wolf","0.06651443"
"","","","Arabian camel","0.057136245"
"","","","lion","0.050800387"
"mobilenet_v2_0.35_128","lion","0.006","",""
"","","","lion","0.4184271"
"","","","cheetah","0.108457446"
"","","","brown bear","0.08508036"
"","","","dhole","0.046442423"
"","","","hyena","0.035895642"
"mobilenet_v2_0.35_128","lion","0.008","",""
"","","","hartebeest","0.12511155"
"","","","lion","0.062334597"
"","","","cock","0.035402946"
"","","","ox","0.027966736"
"","","","hippopotamus","0.023564799"
"mobilenet_v2_0.35_128","lion","0.007","",""
"","","","lion","0.29596636"
"","","","cougar","0.2788363"
"","","","lynx","0.21750201"
"","","","dingo","0.036606442"
"","","","coyote","0.009661146"
"mobilenet_v2_0.35_128","lion","0.006","",""
"","","","lion","0.7405391"
"","","","dhole","0.061894476"
"","","","dingo","0.049024727"
"","","","cougar","0.022124738"
"","","","red wolf","0.01770911"
"mobilenet_v2_0.35_128","lion","0.007","",""
"","","","lion","0.95813054"
"","","","cougar","0.004361198"
"","","","bighorn","0.0026244163"
"","","","bull mastiff","0.0025008537"
"","","","bloodhound","0.0022766157"
"mobilenet_v2_0.35_128","lion","0.006","",""
"","","","lion","0.94807386"
"","","","hyena","0.009065415"
"","","","cheetah","0.004742028"
"","","","warthog","0.004711706"
"","","","wild boar","0.0034263504"
"mobilenet_v2_0.35_128","lion","0.006","",""
"","","","lion","0.862986"
"","","","beaver","0.036491416"
"","","","brown bear","0.035961848"
"","","","wild boar","0.0046277605"
"","","","warthog","0.0034971253"
"mobilenet_v2_0.35_128","bee","0.006","",""
"","","","red-backed sandpiper","0.07118545"
"","","","house finch","0.06363211"
"","","","warplane","0.056211505"
"","","","dowitcher","0.054667268"
"","","","spoonbill","0.048238494"
"mobilenet_v2_0.35_128","bee","0.006","",""
"","","","hip","0.14629078"
"","","","bee","0.06387324"
"","","","pinwheel","0.0638525"
"","","","daisy","0.055836413"
"","","","cock","0.038028173"
"mobilenet_v2_0.35_128","bee","0.006","",""
"","","","bee","0.37855473"
"","","","fly","0.15375108"
"","","","daisy","0.14762017"
"","","","sulphur butterfly","0.055280305"
"","","","cabbage butterfly","0.041297704"
"mobilenet_v2_0.35_128","bee","0.006","",""
"","","","honeycomb","0.89831275"
"","","","bee","0.03882049"
"","","","pineapple","0.020053463"
"","","","apiary","0.004126723"
"","","","terrapin","0.0022945746"
"mobilenet_v2_0.35_128","bee","0.006","",""
"","","","bee","0.8519171"
"","","","fly","0.027494816"
"","","","ant","0.02284192"
"","","","honeycomb","0.01162023"
"","","","wolf spider","0.010281673"
"mobilenet_v2_0.35_128","bee","0.006","",""
"","","","rotisserie","0.24429859"
"","","","tarantula","0.082905844"
"","","","mud_turtle","0.05332136"
"","","","box turtle","0.032114726"
"","","","bee","0.031295683"
"mobilenet_v2_0.35_128","bee","0.006","",""
"","","","sea anemone","0.17921403"
"","","","cardoon","0.1688485"
"","","","bee","0.12271064"
"","","","anemone fish","0.09982276"
"","","","coral fungus","0.041688465"
"mobilenet_v2_0.35_128","bee","0.005","",""
"","","","bee","0.27974388"
"","","","fly","0.19840351"
"","","","long-horned beetle","0.14388683"
"","","","rhinoceros beetle","0.09796829"
"","","","weevil","0.040226087"
"mobilenet_v2_0.35_128","bee","0.006","",""
"","","","bee","0.20391355"
"","","","lycaenid","0.11753853"
"","","","cabbage butterfly","0.074312076"
"","","","sulphur butterfly","0.06116558"
"","","","fly","0.051144365"
"mobilenet_v2_0.35_128","bee","0.007","",""
"","","","garden spider","0.2948152"
"","","","barn spider","0.26183102"
"","","","hermit_crab","0.22278644"
"","","","weevil","0.05266122"
"","","","wolf spider","0.047053568"
"mobilenet_v2_0.35_128","daisy","0.006","",""
"","","","daisy","0.499996"
"","","","bee","0.1671827"
"","","","sea urchin","0.09045425"
"","","","fly","0.021046393"
"","","","orange","0.014248213"
"mobilenet_v2_0.35_128","daisy","0.006","",""
"","","","daisy","0.97499067"
"","","","bee","0.009874039"
"","","","fly","0.0016056322"
"","","","cabbage butterfly","6.8264065E-4"
"","","","lycaenid","6.758878E-4"
"mobilenet_v2_0.35_128","daisy","0.008","",""
"","","","daisy","0.58368903"
"","","","bee","0.07094528"
"","","","bald eagle","0.025459535"
"","","","fly","0.019482426"
"","","","cardoon","0.012743123"
"mobilenet_v2_0.35_128","daisy","0.009","",""
"","","","daisy","0.65693927"
"","","","cabbage butterfly","0.15322623"
"","","","bee","0.040427487"
"","","","fly","0.029623777"
"","","","sulphur butterfly","0.015673839"
"mobilenet_v2_0.35_128","daisy","0.008","",""
"","","","daisy","0.947386"
"","","","mushroom","0.014162821"
"","","","sulphur butterfly","0.0032168159"
"","","","lycaenid","0.0024436994"
"","","","ringlet","0.0017307275"
"mobilenet_v2_0.35_128","daisy","0.007","",""
"","","","daisy","0.90786105"
"","","","sulphur butterfly","0.0120621985"
"","","","bee","0.005751297"
"","","","cabbage butterfly","0.0038155671"
"","","","ringlet","0.0033611704"
"mobilenet_v2_0.35_128","daisy","0.007","",""
"","","","daisy","0.9081689"
"","","","yellow lady's slipper","0.02362815"
"","","","torch","0.0047139493"
"","","","cabbage butterfly","0.0037507548"
"","","","acorn","0.002723627"
"mobilenet_v2_0.35_128","daisy","0.006","",""
"","","","daisy","0.8659167"
"","","","bee","0.019333592"
"","","","fly","0.0099516045"
"","","","banana","0.009327438"
"","","","conch","0.005079204"
"mobilenet_v2_0.35_128","daisy","0.006","",""
"","","","daisy","0.93353987"
"","","","quill","0.013021482"
"","","","cardoon","0.006672004"
"","","","sea urchin","0.0034887658"
"","","","lionfish","0.0033414357"
"mobilenet_v2_0.35_128","daisy","0.007","",""
"","","","daisy","0.80589396"
"","","","tennis ball","0.039318725"
"","","","buckeye","0.02953723"
"","","","mushroom","0.010040087"
"","","","cabbage butterfly","0.010003834"
"mobilenet_v2_0.35_128","lemon","0.007","",""
"","","","lemon","0.6140951"
"","","","orange","0.23663512"
"","","","hip","0.022619277"
"","","","acorn","0.007917432"
"","","","yellow lady's slipper","0.0066934135"
"mobilenet_v2_0.35_128","lemon","0.006","",""
"","","","lemon","0.301446"
"","","","Granny Smith","0.14989083"
"","","","banana","0.033848457"
"","","","bell pepper","0.022243677"
"","","","abacus","0.020487333"
"mobilenet_v2_0.35_128","lemon","0.006","",""
"","","","lemon","0.5467297"
"","","","orange","0.3463189"
"","","","Granny Smith","0.010942974"
"","","","acorn","0.0078063887"
"","","","banana","0.0073081087"
