"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.026","",""
"","","","cheetah","0.6806015"
"","","","leopard","0.07293523"
"","","","jaguar","0.008078562"
"","","","hyena","0.0038528903"
"","","","tractor","0.002191949"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.018","",""
"","","","jaguar","0.7338689"
"","","","leopard","0.15660058"
"","","","tiger cat","0.0035973622"
"","","","tiger","0.002066408"
"","","","cheetah","0.0017343494"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.018","",""
"","","","leopard","0.88329995"
"","","","jaguar","0.07008436"
"","","","cheetah","0.0033750343"
"","","","puffer","5.416552E-4"
"","","","eel","4.6236406E-4"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.019","",""
"","","","jaguar","0.79811734"
"","","","leopard","0.12943354"
"","","","snow leopard","0.00309921"
"","","","cheetah","0.0021738922"
"","","","banded gecko","0.0018205536"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.019","",""
"","","","leopard","0.87056154"
"","","","cheetah","0.11866454"
"","","","porcupine","0.001809513"
"","","","jaguar","0.0010700845"
"","","","baboon","4.2566526E-4"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.018","",""
"","","","leopard","0.81079787"
"","","","jaguar","0.16234294"
"","","","snow leopard","0.0040642186"
"","","","cheetah","0.001694472"
"","","","Egyptian cat","7.15356E-4"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.018","",""
"","","","leopard","0.7765619"
"","","","jaguar","0.041327957"
"","","","snow leopard","0.02230617"
"","","","cheetah","0.009867723"
"","","","tiger","0.008487417"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.018","",""
"","","","lynx","0.7703813"
"","","","Egyptian cat","0.10088569"
"","","","leopard","0.024886549"
"","","","jaguar","0.01497879"
"","","","cheetah","0.0052228933"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.018","",""
"","","","leopard","0.9072382"
"","","","cheetah","0.01728494"
"","","","jaguar","0.0132691"
"","","","indri","0.0038770468"
"","","","black grouse","0.0035222173"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.02","",""
"","","","leopard","0.6632045"
"","","","jaguar","0.1514977"
"","","","lynx","0.07786365"
"","","","snow leopard","0.018055424"
"","","","Egyptian cat","0.013848024"
"mobilenet_v3-large-minimalistic_224_1.0_float","lion","0.018","",""
"","","","lion","0.8556795"
"","","","cougar","0.010347607"
"","","","chow","0.007776023"
"","","","lynx","0.0052051083"
"","","","Leonberg","0.003881289"
"mobilenet_v3-large-minimalistic_224_1.0_float","lion","0.017","",""
"","","","lion","0.83196986"
"","","","Persian cat","0.10384791"
"","","","chow","0.0456499"
"","","","Pomeranian","0.0043874728"
"","","","Angora","7.4494374E-4"
"mobilenet_v3-large-minimalistic_224_1.0_float","lion","0.018","",""
"","","","lion","0.99024665"
"","","","chow","5.0839386E-4"
"","","","white wolf","2.8904094E-4"
"","","","baboon","2.811335E-4"
"","","","warthog","2.402148E-4"
"mobilenet_v3-large-minimalistic_224_1.0_float","lion","0.018","",""
"","","","lion","0.48510364"
"","","","briard","0.028937167"
"","","","bison","0.027059449"
"","","","Tibetan mastiff","0.026917746"
"","","","chow","0.014653255"
"mobilenet_v3-large-minimalistic_224_1.0_float","lion","0.018","",""
