"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.014","",""
"","","","jaguar","0.73387"
"","","","leopard","0.15659961"
"","","","tiger cat","0.003597364"
"","","","tiger","0.002066405"
"","","","cheetah","0.0017343459"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.01","",""
"","","","cheetah","0.62219226"
"","","","leopard","0.25230154"
"","","","jaguar","0.01512634"
"","","","impala","0.0019988026"
"","","","gazelle","0.0017119612"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.015","",""
"","","","leopard","0.86711156"
"","","","jaguar","0.11885757"
"","","","cheetah","0.0053352914"
"","","","snow leopard","0.0010878122"
"","","","whiptail","4.636208E-4"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.012","",""
"","","","leopard","0.87056"
"","","","cheetah","0.11866512"
"","","","porcupine","0.0018095048"
"","","","jaguar","0.0010700799"
"","","","baboon","4.2566578E-4"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.016","",""
"","","","leopard","0.81079763"
"","","","jaguar","0.16234365"
"","","","snow leopard","0.0040642247"
"","","","cheetah","0.0016944701"
"","","","Egyptian cat","7.153543E-4"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.01","",""
"","","","cheetah","0.92574465"
"","","","lion","0.016640445"
"","","","jaguar","0.011139136"
"","","","snow leopard","0.009646158"
"","","","leopard","0.004391824"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.011","",""
"","","","cheetah","0.8853622"
"","","","jaguar","0.018078426"
"","","","leopard","0.011328642"
"","","","lynx","0.0025066088"
"","","","snow leopard","0.0021624519"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.012","",""
"","","","leopard","0.9464359"
"","","","jaguar","0.010454498"
"","","","cheetah","0.0100422185"
"","","","lion","2.8812696E-4"
"","","","whiptail","2.5720213E-4"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.012","",""
