"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.144","",""
"","","","cheetah","0.4631385"
"","","","leopard","0.38578573"
"","","","snow leopard","0.043800525"
"","","","jaguar","0.020730242"
"","","","lynx","0.0062852656"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.058","",""
"","","","leopard","0.36734763"
"","","","Egyptian cat","0.06235548"
"","","","lynx","0.058728833"
"","","","tiger cat","0.04788624"
"","","","tabby","0.019599674"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.058","",""
"","","","leopard","0.6813849"
"","","","jaguar","0.13541533"
"","","","lynx","0.080482595"
"","","","snow leopard","0.016752359"
"","","","Egyptian cat","0.0131381275"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.058","",""
"","","","leopard","0.5067981"
"","","","snow leopard","0.21049903"
"","","","jaguar","0.17139617"
"","","","cheetah","0.010764848"
"","","","lynx","0.0026201424"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.057","",""
"","","","jaguar","0.5165122"
"","","","leopard","0.40530142"
"","","","cheetah","0.0034364727"
"","","","snow leopard","0.0018391343"
"","","","Egyptian cat","0.0013786128"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.058","",""
"","","","lynx","0.7648942"
"","","","Egyptian cat","0.095893845"
"","","","leopard","0.027690493"
"","","","jaguar","0.016522147"
"","","","cheetah","0.0063069924"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.059","",""
"","","","cheetah","0.87852675"
"","","","jaguar","0.019108327"
"","","","leopard","0.011957002"
"","","","lynx","0.0027531097"
"","","","snow leopard","0.0023913684"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.058","",""
"","","","coyote","0.36409163"
"","","","lion","0.2307614"
"","","","dhole","0.060116414"
"","","","grey fox","0.052837655"
"","","","wallaby","0.031549435"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.06","",""
"","","","leopard","0.7184013"
"","","","jaguar","0.16200829"
"","","","cheetah","0.020958483"
"","","","snow leopard","0.017722087"
"","","","lynx","0.0014286469"
"mobilenet_v3-large-minimalistic_224_1.0_float","leopard","0.058","",""
"","","","leopard","0.937793"
"","","","cheetah","0.012462191"
"","","","jaguar","0.010399665"
"","","","lion","3.3445517E-4"
"","","","whiptail","3.1230206E-4"
"mobilenet_v3-large-minimalistic_224_1.0_float","lion","0.058","",""
"","","","lion","0.988352"
"","","","Arabian camel","0.0043419152"
"","","","cougar","0.0012117946"
"","","","Indian elephant","3.034784E-4"
"","","","African elephant","2.1253717E-4"
"mobilenet_v3-large-minimalistic_224_1.0_float","lion","0.059","",""
"","","","lion","0.95027006"
"","","","cougar","0.011077107"
"","","","brown bear","0.0032389173"
"","","","wombat","0.0030183755"
"","","","lynx","0.0019291191"
"mobilenet_v3-large-minimalistic_224_1.0_float","lion","0.057","",""
