"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_v1_0.25_128","leopard","0.004","",""
"","","","snow leopard","0.8901367"
"","","","cheetah","0.032928467"
"","","","hyena","0.029525757"
"","","","leopard","0.010948181"
"","","","lynx","0.0066375732"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","cheetah","0.86572266"
"","","","leopard","0.066223145"
"","","","jaguar","0.064697266"
"","","","partridge","7.133484E-4"
"","","","lynx","3.938675E-4"
"mobilenet_v1_0.25_128","leopard","0.017","",""
"","","","jaguar","0.7675781"
"","","","leopard","0.23046875"
"","","","cheetah","0.0010185242"
"","","","tiger","9.713173E-4"
"","","","snow leopard","8.5532665E-5"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","grasshopper","0.103271484"
"","","","tailed frog","0.06616211"
"","","","frilled lizard","0.03842163"
"","","","vestment","0.027038574"
"","","","bullfrog","0.020492554"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","leopard","0.7578125"
"","","","jaguar","0.20715332"
"","","","cheetah","0.029373169"
"","","","snow leopard","0.001156807"
"","","","ptarmigan","0.0011386871"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","snow leopard","0.9838867"
"","","","lynx","0.002784729"
"","","","cheetah","0.0024776459"
"","","","leopard","0.0023460388"
"","","","hyena","0.0015506744"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","leopard","0.51220703"
"","","","jaguar","0.45214844"
"","","","cheetah","0.028457642"
"","","","snow leopard","0.0050239563"
"","","","boa constrictor","5.092621E-4"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","cheetah","0.89501953"
"","","","leopard","0.050109863"
"","","","jaguar","0.024612427"
"","","","Indian cobra","0.009864807"
"","","","ruffed grouse","0.0051994324"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","cheetah","0.52197266"
"","","","leopard","0.42944336"
"","","","jaguar","0.02558899"
"","","","Gila monster","0.0055770874"
"","","","king snake","0.003129959"
"mobilenet_v1_0.25_128","leopard","0.002","",""
"","","","Komodo_dragon","0.46899414"
"","","","boa constrictor","0.09832764"
"","","","jaguar","0.061523438"
"","","","common_iguana","0.047912598"
"","","","leopard","0.046447754"
"mobilenet_v1_0.25_128","lion","0.001","",""
"","","","lion","0.73876953"
"","","","cougar","0.06817627"
"","","","Arabian camel","0.03765869"
"","","","Chesapeake Bay retriever","0.030258179"
"","","","vizsla","0.026504517"
"mobilenet_v1_0.25_128","lion","0.001","",""
"","","","vulture","0.17016602"
"","","","lion","0.1538086"
"","","","European gallinule","0.1116333"
"","","","impala","0.10241699"
"","","","Arabian camel","0.061157227"
"mobilenet_v1_0.25_128","lion","0.002","",""
"","","","baboon","0.43847656"
"","","","grey fox","0.06829834"
"","","","cougar","0.05532837"
"","","","coyote","0.046936035"
"","","","wild boar","0.035705566"
"mobilenet_v1_0.25_128","lion","0.001","",""
"","","","lion","0.33081055"
"","","","cougar","0.09552002"
"","","","bighorn","0.056152344"
"","","","ram","0.044403076"
"","","","kit fox","0.042053223"
"mobilenet_v1_0.25_128","lion","0.002","",""
"","","","lion","0.60595703"
"","","","dingo","0.18188477"
"","","","red wolf","0.07824707"
"","","","dhole","0.046722412"
"","","","malinois","0.015167236"
"mobilenet_v1_0.25_128","lion","0.002","",""
"","","","lion","0.6816406"
"","","","chow","0.05593872"
"","","","Tibetan mastiff","0.024627686"
"","","","golden retriever","0.014030457"
"","","","bloodhound","0.01360321"
"mobilenet_v1_0.25_128","lion","0.001","",""
"","","","lion","0.44213867"
"","","","groenendael","0.109191895"
"","","","American black bear","0.10839844"
"","","","Irish wolfhound","0.024368286"
"","","","collie","0.021499634"
"mobilenet_v1_0.25_128","lion","0.002","",""
"","","","lion","0.52197266"
"","","","gorilla","0.1472168"
"","","","Arctic_fox","0.09655762"
"","","","ram","0.025787354"
"","","","orangutan","0.020721436"
"mobilenet_v1_0.25_128","lion","0.002","",""
"","","","lion","0.37939453"
"","","","hyena","0.1373291"
"","","","chow","0.12121582"
"","","","brown bear","0.09893799"
"","","","cheetah","0.034179688"
"mobilenet_v1_0.25_128","lion","0.001","",""
"","","","white wolf","0.5566406"
"","","","lion","0.25097656"
"","","","ice bear","0.12817383"
"","","","kuvasz","0.012107849"
"","","","Arctic_fox","0.010772705"
"mobilenet_v1_0.25_128","bee","0.003","",""
"","","","bee","0.5419922"
"","","","monarch","0.13171387"
"","","","cardoon","0.105041504"
"","","","cabbage butterfly","0.082458496"
"","","","hummingbird","0.026763916"
"mobilenet_v1_0.25_128","bee","0.002","",""
"","","","tiger beetle","0.1796875"
"","","","isopod","0.14892578"
