"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_v1_0.25_128","leopard","0.013","",""
"","","","jaguar","0.76716024"
"","","","leopard","0.23080018"
"","","","cheetah","9.488971E-4"
"","","","tiger","9.0076687E-4"
"","","","snow leopard","7.549008E-5"
"mobilenet_v1_0.25_128","leopard","0.011","",""
"","","","baboon","0.12156714"
"","","","bighorn","0.08495572"
"","","","warthog","0.08188646"
"","","","hartebeest","0.057120293"
"","","","impala","0.056415424"
"mobilenet_v1_0.25_128","leopard","0.009","",""
"","","","leopard","0.92209476"
"","","","cheetah","0.039164014"
"","","","jaguar","0.037736144"
"","","","lynx","1.9770389E-4"
"","","","ruffed grouse","1.8543324E-4"
"mobilenet_v1_0.25_128","leopard","0.009","",""
"","","","leopard","0.7345497"
"","","","jaguar","0.2295087"
"","","","cheetah","0.032153834"
"","","","Gila monster","7.3008356E-4"
"","","","ptarmigan","5.861327E-4"
"mobilenet_v1_0.25_128","leopard","0.011","",""
"","","","leopard","0.5944662"
"","","","cheetah","0.08445261"
"","","","echidna","0.06069242"
"","","","jaguar","0.038813002"
"","","","porcupine","0.037020084"
"mobilenet_v1_0.25_128","leopard","0.007","",""
"","","","cheetah","0.8651485"
"","","","jaguar","0.06575037"
"","","","leopard","0.06557178"
"","","","partridge","7.810932E-4"
"","","","lynx","4.03162E-4"
"mobilenet_v1_0.25_128","leopard","0.009","",""
"","","","grey fox","0.14377378"
"","","","leopard","0.12895925"
"","","","fox squirrel","0.108957246"
"","","","mongoose","0.10091938"
"","","","Indian cobra","0.08383347"
"mobilenet_v1_0.25_128","leopard","0.01","",""
"","","","cheetah","0.6939761"
"","","","jaguar","0.16907679"
"","","","leopard","0.13375328"
"","","","Egyptian cat","0.0011525328"
"","","","lynx","0.0010470002"
"mobilenet_v1_0.25_128","leopard","0.009","",""
"","","","tiger","0.2313589"
"","","","jaguar","0.15752935"
"","","","Leonberg","0.07971331"
"","","","Great Dane","0.054931175"
"","","","whippet","0.049397174"
"mobilenet_v1_0.25_128","leopard","0.008","",""
"","","","leopard","0.579614"
"","","","cheetah","0.18838014"
"","","","snow leopard","0.1374315"
"","","","jaguar","0.08051853"
"","","","tiger cat","0.004019554"
"mobilenet_v1_0.25_128","lion","0.008","",""
"","","","ram","0.3225191"
"","","","bighorn","0.23953667"
"","","","Arabian camel","0.098538615"
"","","","ox","0.052240025"
"","","","oxcart","0.035233747"
"mobilenet_v1_0.25_128","lion","0.014","",""
"","","","lion","0.35933313"
"","","","lynx","0.124886245"
"","","","ram","0.115167394"
"","","","cougar","0.09065353"
"","","","bighorn","0.07770167"
"mobilenet_v1_0.25_128","lion","0.008","",""
"","","","lion","0.40054965"
"","","","soft-coated wheaten terrier","0.106819905"
"","","","cougar","0.1046954"
"","","","standard poodle","0.023216978"
"","","","Airedale","0.0214568"
"mobilenet_v1_0.25_128","lion","0.007","",""
"","","","lynx","0.112626255"
"","","","common_iguana","0.07804038"
"","","","cheetah","0.05509605"
"","","","stinkhorn","0.043483652"
"","","","lion","0.039400086"
"mobilenet_v1_0.25_128","lion","0.011","",""
"","","","lynx","0.6118431"
"","","","lion","0.10169648"
"","","","coyote","0.067078434"
"","","","hare","0.048003573"
"","","","timber wolf","0.022357313"
"mobilenet_v1_0.25_128","lion","0.008","",""
"","","","lion","0.58714986"
"","","","dingo","0.1874844"
"","","","red wolf","0.085189596"
"","","","dhole","0.04962548"
"","","","malinois","0.016343864"
"mobilenet_v1_0.25_128","lion","0.009","",""
"","","","lion","0.9865052"
"","","","dhole","0.005897909"
"","","","brown bear","0.001813567"
"","","","red wolf","0.0010880512"
"","","","bison","8.465364E-4"
"mobilenet_v1_0.25_128","lion","0.007","",""
"","","","lion","0.41511634"
"","","","mud_turtle","0.06481571"
"","","","eft","0.044294365"
"","","","hyena","0.03324649"
"","","","terrapin","0.03077952"
"mobilenet_v1_0.25_128","lion","0.007","",""
"","","","lion","0.49271685"
"","","","brown bear","0.12933606"
"","","","gorilla","0.06571682"
"","","","macaque","0.048167754"
"","","","baboon","0.031513866"
"mobilenet_v1_0.25_128","lion","0.006","",""
"","","","lion","0.2942952"
"","","","kit fox","0.109517634"
"","","","red fox","0.057303593"
"","","","marmot","0.039801486"
"","","","lynx","0.036776114"
"mobilenet_v1_0.25_128","bee","0.006","",""
"","","","daisy","0.6375108"
"","","","bee","0.16607797"
"","","","sulphur butterfly","0.09015332"
"","","","cabbage butterfly","0.020649105"
"","","","monarch","0.011569201"
"mobilenet_v1_0.25_128","bee","0.008","",""
"","","","bee","0.6207709"
"","","","garden spider","0.046431046"
"","","","corn","0.026167402"
"","","","box turtle","0.018965356"
"","","","fly","0.018280234"
"mobilenet_v1_0.25_128","bee","0.008","",""
"","","","bee","0.97813886"
"","","","cardoon","0.00756051"
"","","","fly","0.0049101"
"","","","cabbage butterfly","0.0046301177"
"","","","sulphur butterfly","9.991023E-4"
"mobilenet_v1_0.25_128","bee","0.008","",""
"","","","bee","0.94673675"
"","","","fly","0.020923698"
"","","","ant","0.0103929825"
"","","","ladybug","0.009159817"
"","","","hip","0.0043304437"
"mobilenet_v1_0.25_128","bee","0.008","",""
"","","","bee","0.10799599"
"","","","groom","0.07289051"
"","","","broccoli","0.047639247"
"","","","sulphur butterfly","0.047550194"
"","","","cabbage butterfly","0.031187732"
"mobilenet_v1_0.25_128","bee","0.007","",""
"","","","barn spider","0.30868655"
"","","","honeycomb","0.26127926"
"","","","hen-of-the-woods","0.067642085"
"","","","wolf spider","0.06270008"
"","","","garden spider","0.036961664"
"mobilenet_v1_0.25_128","bee","0.007","",""
"","","","cabbage butterfly","0.411984"
"","","","bee","0.18853584"
"","","","monarch","0.17103568"
"","","","admiral","0.1386453"
"","","","sulphur butterfly","0.03298666"
"mobilenet_v1_0.25_128","bee","0.007","",""
"","","","daisy","0.4093659"
"","","","fountain","0.099882014"
"","","","candle","0.08355217"
"","","","yellow lady's slipper","0.05913977"
"","","","bee","0.042409547"
"mobilenet_v1_0.25_128","bee","0.007","",""
"","","","bee","0.50872076"
"","","","fly","0.18019873"
"","","","weevil","0.08723511"
"","","","cricket","0.07049237"
"","","","cicada","0.050406743"
"mobilenet_v1_0.25_128","bee","0.007","",""
"","","","isopod","0.2717504"
"","","","hermit_crab","0.1936215"
"","","","fly","0.14954704"
"","","","scorpion","0.123990685"
"","","","cicada","0.09246229"
"mobilenet_v1_0.25_128","daisy","0.007","",""
"","","","daisy","0.9961469"
"","","","soccer ball","9.0099935E-4"
"","","","golf ball","3.4424415E-4"
"","","","pinwheel","3.0371104E-4"
"","","","mushroom","1.75172E-4"
"mobilenet_v1_0.25_128","daisy","0.01","",""
"","","","daisy","0.7360054"
"","","","cabbage butterfly","0.18717632"
"","","","sulphur butterfly","0.044055752"
"","","","bee","0.009312902"
"","","","lycaenid","0.003083647"
"mobilenet_v1_0.25_128","daisy","0.008","",""
"","","","daisy","0.9990752"
"","","","cabbage butterfly","6.109499E-4"
"","","","bee","1.6746136E-4"
"","","","lycaenid","9.662379E-5"
"","","","sulphur butterfly","2.3083227E-5"
"mobilenet_v1_0.25_128","daisy","0.007","",""
"","","","daisy","0.9244945"
"","","","sea anemone","0.014178982"
"","","","bee","0.0124324495"
"","","","pot","0.005427592"
"","","","cabbage butterfly","0.0048283194"
"mobilenet_v1_0.25_128","daisy","0.006","",""
"","","","daisy","0.85822284"
"","","","sulphur butterfly","0.092219785"
"","","","cabbage butterfly","0.04327166"
"","","","cardoon","0.0017754195"
"","","","lycaenid","9.5917366E-4"
"mobilenet_v1_0.25_128","daisy","0.007","",""
"","","","daisy","0.9962084"
"","","","pot","6.2874827E-4"
"","","","apiary","3.6628902E-4"
"","","","bee","2.755074E-4"
"","","","pelican","1.5826545E-4"
"mobilenet_v1_0.25_128","daisy","0.007","",""
"","","","daisy","0.99960834"
"","","","cabbage butterfly","1.4608509E-4"
"","","","bee","1.0476525E-4"
"","","","buckeye","7.722877E-5"
"","","","sea urchin","1.6184471E-5"
"mobilenet_v1_0.25_128","daisy","0.006","",""
"","","","daisy","0.9646684"
"","","","bee","0.009688956"
"","","","sea urchin","0.008268219"
"","","","cabbage butterfly","0.0034873933"
"","","","quill","0.0024727501"
"mobilenet_v1_0.25_128","daisy","0.005","",""
"","","","daisy","0.72835183"
"","","","cabbage butterfly","0.17377521"
"","","","cardoon","0.051772762"
"","","","sulphur butterfly","0.01527826"
"","","","pinwheel","0.011531657"
"mobilenet_v1_0.25_128","daisy","0.008","",""
"","","","daisy","0.9998269"
"","","","bee","7.1652415E-5"
"","","","cabbage butterfly","5.694573E-5"
"","","","sulphur butterfly","1.4568948E-5"
"","","","ringlet","6.7055075E-6"
"mobilenet_v1_0.25_128","lemon","0.008","",""
"","","","lemon","0.43745697"
"","","","orange","0.24623996"
"","","","Granny Smith","0.0938795"
"","","","banana","0.05952215"
"","","","fig","0.044600654"
"mobilenet_v1_0.25_128","lemon","0.012","",""
"","","","lemon","0.40040645"
"","","","fig","0.2136432"
"","","","spaghetti squash","0.11782991"
"","","","snail","0.02758371"
"","","","acorn squash","0.02336977"
"mobilenet_v1_0.25_128","lemon","0.007","",""
"","","","chambered nautilus","0.49255854"
"","","","lemon","0.124171026"
"","","","brain coral","0.042454578"
"","","","sea slug","0.02394003"
"","","","flatworm","0.018417146"
"mobilenet_v1_0.25_128","lemon","0.008","",""
"","","","lemon","0.5006834"
"","","","sulphur-crested cockatoo","0.13456948"
"","","","tennis ball","0.102030225"
"","","","orange","0.053606"
"","","","lampshade","0.02293038"
"mobilenet_v1_0.25_128","lemon","0.008","",""
"","","","lemon","0.510148"
"","","","banana","0.24203214"
"","","","orange","0.12048135"
"","","","spaghetti squash","0.082590386"
"","","","butternut squash","0.012344245"
"mobilenet_v1_0.25_128","lemon","0.007","",""
"","","","mushroom","0.40335572"
"","","","lemon","0.36436328"
"","","","bolete","0.12201429"
"","","","jackfruit","0.034581"
"","","","earthstar","0.013987482"
"mobilenet_v1_0.25_128","lemon","0.006","",""
"","","","lemon","0.7236772"
"","","","acorn","0.111959085"
"","","","orange","0.04349706"
"","","","snail","0.020748723"
"","","","yellow lady's slipper","0.017713014"
"mobilenet_v1_0.25_128","lemon","0.006","",""
"","","","orange","0.4151431"
"","","","jellyfish","0.08342786"
"","","","lemon","0.07323142"
"","","","lycaenid","0.046335068"
"","","","cowboy boot","0.037195567"
"mobilenet_v1_0.25_128","lemon","0.007","",""
"","","","lemon","0.5452226"
"","","","spaghetti squash","0.089511104"
"","","","orange","0.07345589"
"","","","acorn squash","0.050298933"
"","","","bolete","0.043832414"
"mobilenet_v1_0.25_128","lemon","0.008","",""
"","","","lemon","0.86431026"
"","","","orange","0.0675935"
"","","","spaghetti squash","0.038094193"
"","","","banana","0.0069659613"
"","","","butternut squash","0.0043742466"
"mobilenet_v1_0.25_128","shark","0.007","",""
"","","","great white shark","0.3395837"
"","","","grey whale","0.13042468"
"","","","scuba diver","0.08658124"
"","","","snorkel","0.06261708"
