"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_v2_0.35_128","leopard","0.008","",""
"","","","cheetah","0.81470424"
"","","","leopard","0.14017582"
"","","","jaguar","0.015919523"
"","","","lynx","0.003330523"
"","","","lion","0.0015069499"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","leopard","0.619784"
"","","","cheetah","0.10956099"
"","","","jaguar","0.029884715"
"","","","honeycomb","0.028221207"
"","","","fur coat","0.023846311"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","cheetah","0.8967251"
"","","","leopard","0.07028116"
"","","","jaguar","0.013991301"
"","","","hyena","0.0035065291"
"","","","snow leopard","0.0017396238"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","lynx","0.16217598"
"","","","snow leopard","0.1470007"
"","","","jaguar","0.07861286"
"","","","leopard","0.074162245"
"","","","African crocodile","0.03803917"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","jaguar","0.55063653"
"","","","leopard","0.38556093"
"","","","cheetah","0.01676368"
"","","","snow leopard","0.008219485"
"","","","lynx","0.00245953"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","leopard","0.48215866"
"","","","jaguar","0.35071802"
"","","","whiptail","0.04304716"
"","","","cheetah","0.018943956"
"","","","snow leopard","0.009237409"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","snow leopard","0.74489534"
"","","","timber wolf","0.1476909"
"","","","lynx","0.032033715"
"","","","coyote","0.0102642635"
"","","","white wolf","0.005989025"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","leopard","0.60124457"
"","","","cheetah","0.19407015"
"","","","ruffed grouse","0.018248772"
"","","","tiger cat","0.013623745"
"","","","jaguar","0.009982769"
"mobilenet_v2_0.35_128","leopard","0.003","",""
"","","","leopard","0.6281814"
"","","","cheetah","0.26580212"
"","","","jaguar","0.027452832"
"","","","puffer","0.013924729"
"","","","prairie chicken","0.0030732886"
"mobilenet_v2_0.35_128","leopard","0.004","",""
"","","","snow leopard","0.88739604"
"","","","leopard","0.014370491"
"","","","lynx","0.011337002"
"","","","tiger","0.007875055"
"","","","tabby","0.006821339"
"mobilenet_v2_0.35_128","lion","0.003","",""
"","","","lynx","0.567906"
"","","","wood rabbit","0.1039762"
"","","","coyote","0.08592894"
"","","","hare","0.070818156"
"","","","lion","0.032906692"
"mobilenet_v2_0.35_128","lion","0.003","",""
"","","","lion","0.15740295"
"","","","hare","0.10980027"
"","","","dhole","0.06155852"
"","","","wood rabbit","0.057967164"
"","","","fox squirrel","0.05399698"
"mobilenet_v2_0.35_128","lion","0.003","",""
"","","","lion","0.8629852"
"","","","beaver","0.03649166"
"","","","brown bear","0.035961952"
"","","","wild boar","0.0046278005"
"","","","warthog","0.0034971654"
"mobilenet_v2_0.35_128","lion","0.003","",""
"","","","cheetah","0.08670815"
"","","","malamute","0.076090254"
"","","","lion","0.06641054"
"","","","hyena","0.031515714"
"","","","baboon","0.025172591"
"mobilenet_v2_0.35_128","lion","0.003","",""
"","","","lion","0.45287412"
"","","","soft-coated wheaten terrier","0.051496103"
"","","","Border terrier","0.03142745"
"","","","sea lion","0.024193581"
"","","","polecat","0.02344094"
"mobilenet_v2_0.35_128","lion","0.004","",""
"","","","warthog","0.38711432"
"","","","lion","0.1846597"
"","","","bison","0.06148427"
"","","","brown bear","0.038238086"
"","","","vizsla","0.023789234"
"mobilenet_v2_0.35_128","lion","0.003","",""
"","","","lion","0.9899894"
"","","","chow","0.0012179933"
"","","","brown bear","8.0592284E-4"
"","","","tiger","5.164782E-4"
"","","","Tibetan mastiff","4.8080753E-4"
"mobilenet_v2_0.35_128","lion","0.003","",""
"","","","lion","0.9635454"
"","","","dingo","0.0044381055"
"","","","cougar","0.0037997293"
"","","","chow","0.0017986879"
"","","","hyena","0.001788431"
"mobilenet_v2_0.35_128","lion","0.004","",""
"","","","lion","0.18748172"
"","","","cougar","0.14441681"
"","","","dhole","0.05699952"
"","","","bighorn","0.048482217"
"","","","dingo","0.029198825"
"mobilenet_v2_0.35_128","lion","0.003","",""
"","","","lion","0.29596588"
"","","","cougar","0.27883774"
"","","","lynx","0.21750124"
"","","","dingo","0.03660645"
"","","","coyote","0.0096611455"
"mobilenet_v2_0.35_128","bee","0.003","",""
"","","","hummingbird","0.3067046"
"","","","bee","0.102246374"
"","","","sulphur butterfly","0.08432458"
"","","","dragonfly","0.062181853"
"","","","monarch","0.060948454"
"mobilenet_v2_0.35_128","bee","0.003","",""
"","","","bee","0.30014983"
"","","","ear","0.09577029"
"","","","banana","0.07158929"
"","","","sulphur butterfly","0.06817171"
"","","","long-horned beetle","0.051382795"
"mobilenet_v2_0.35_128","bee","0.003","",""
"","","","bee","0.20391478"
"","","","lycaenid","0.11753805"
"","","","cabbage butterfly","0.074312195"
"","","","sulphur butterfly","0.06116542"
"","","","fly","0.051144503"
"mobilenet_v2_0.35_128","bee","0.003","",""
"","","","bee","0.4208824"
"","","","cicada","0.13835289"
"","","","fly","0.06621144"
"","","","weevil","0.034692544"
"","","","leaf beetle","0.030797599"
"mobilenet_v2_0.35_128","bee","0.004","",""
"","","","honeycomb","0.32200333"
"","","","bee","0.21055807"
"","","","Border terrier","0.065713234"
"","","","terrapin","0.022285733"
"","","","long-horned beetle","0.01986499"
"mobilenet_v2_0.35_128","bee","0.004","",""
"","","","bee","0.7862052"
"","","","fly","0.036212284"
"","","","corn","0.025330953"
"","","","ant","0.014582714"
"","","","ear","0.009715822"
"mobilenet_v2_0.35_128","bee","0.003","",""
"","","","bee","0.279744"
"","","","fly","0.19840358"
"","","","long-horned beetle","0.14388663"
"","","","rhinoceros beetle","0.0979681"
"","","","weevil","0.04022607"
"mobilenet_v2_0.35_128","bee","0.003","",""
"","","","bee","0.53290033"
"","","","garden spider","0.07317247"
"","","","buckeye","0.030654116"
"","","","ant","0.028139539"
"","","","acorn","0.025225718"
"mobilenet_v2_0.35_128","bee","0.003","",""
"","","","bee","0.2536804"
"","","","hermit_crab","0.14640236"
"","","","cicada","0.12799178"
"","","","isopod","0.07034424"
"","","","fly","0.06275199"
"mobilenet_v2_0.35_128","bee","0.003","",""
"","","","buckeye","0.13647105"
"","","","strawberry","0.04711986"
"","","","hip","0.04557344"
"","","","broccoli","0.033077907"
"","","","pineapple","0.031236"
"mobilenet_v2_0.35_128","daisy","0.004","",""
"","","","daisy","0.19324203"
"","","","spider web","0.059812855"
"","","","howler monkey","0.042606477"
"","","","capuchin","0.040123433"
"","","","spider monkey","0.03321357"
"mobilenet_v2_0.35_128","daisy","0.003","",""
"","","","daisy","0.3727921"
"","","","bee","0.22716545"
"","","","sulphur butterfly","0.119367264"
"","","","banana","0.09493293"
"","","","monarch","0.032802105"
"mobilenet_v2_0.35_128","daisy","0.003","",""
"","","","daisy","0.96379673"
"","","","bee","0.0058515705"
"","","","pot","0.0025773197"
"","","","fly","0.0022127014"
"","","","vase","0.001685716"
"mobilenet_v2_0.35_128","daisy","0.003","",""
"","","","daisy","0.997502"
"","","","yellow lady's slipper","6.1769516E-4"
"","","","pot","1.20555436E-4"
"","","","lemon","1.0716626E-4"
"","","","bee","7.2793206E-5"
"mobilenet_v2_0.35_128","daisy","0.003","",""
"","","","daisy","0.938299"
"","","","bee","0.010267911"
"","","","ant","0.0061419383"
"","","","sulphur butterfly","0.0041136085"
"","","","fly","0.0028025992"
"mobilenet_v2_0.35_128","daisy","0.003","",""
"","","","daisy","0.8225315"
"","","","bee","0.0134738805"
"","","","shower cap","0.012443204"
"","","","pot","0.011326879"
"","","","sea anemone","0.0091048675"
"mobilenet_v2_0.35_128","daisy","0.003","",""
"","","","sulphur butterfly","0.22403975"
"","","","agaric","0.045604683"
"","","","coral fungus","0.039364453"
"","","","stinkhorn","0.031782035"
"","","","mushroom","0.027095396"
"mobilenet_v2_0.35_128","daisy","0.003","",""
"","","","daisy","0.93022066"
"","","","bee","0.0062334747"
"","","","fly","0.0037486996"
"","","","pinwheel","0.0021510308"
"","","","cabbage butterfly","0.0021392074"
"mobilenet_v2_0.35_128","daisy","0.003","",""
"","","","coral fungus","0.29813987"
"","","","daisy","0.09298217"
"","","","cabbage butterfly","0.07814204"
"","","","stinkhorn","0.03262203"
"","","","mushroom","0.028048022"
"mobilenet_v2_0.35_128","daisy","0.003","",""
"","","","daisy","0.94441503"
"","","","cabbage butterfly","0.0032896774"
"","","","bee","0.0026379584"
"","","","pinwheel","0.0015486823"
"","","","sulphur-crested cockatoo","0.0014877213"
"mobilenet_v2_0.35_128","lemon","0.003","",""
"","","","lemon","0.5682924"
"","","","Granny Smith","0.16324389"
"","","","spaghetti squash","0.110532105"
"","","","orange","0.020258615"
"","","","jackfruit","0.015706724"
"mobilenet_v2_0.35_128","lemon","0.003","",""
"","","","lemon","0.8838589"
"","","","orange","0.048027474"
"","","","spaghetti squash","0.03277011"
"","","","butternut squash","0.010837292"
"","","","consomme","0.0029706701"
"mobilenet_v2_0.35_128","lemon","0.003","",""
"","","","banana","0.3113191"
"","","","lemon","0.30512533"
"","","","ice cream","0.04994958"
"","","","spaghetti squash","0.024809103"
"","","","pineapple","0.021876728"
"mobilenet_v2_0.35_128","lemon","0.003","",""
"","","","mouse","0.08985787"
"","","","lampshade","0.05309328"
"","","","buckle","0.039504915"
"","","","pencil sharpener","0.03881845"
"","","","cassette player","0.031874564"
"mobilenet_v2_0.35_128","lemon","0.003","",""
"","","","lemon","0.49621037"
"","","","orange","0.16089824"
"","","","isopod","0.045987945"
