"ModelName","Label","InferenceTime","Recognition","Accuracy"
"mobilenet_edgetpu_224_0.75_float","leopard","0.08","",""
"","","","leopard","0.94165707"
"","","","jaguar","0.026885921"
"","","","cheetah","0.009938982"
"","","","eel","3.9919597E-4"
"","","","snow leopard","3.718381E-4"
"mobilenet_edgetpu_224_0.75_float","leopard","0.066","",""
"","","","leopard","0.37835202"
"","","","cheetah","0.323049"
"","","","jaguar","0.09482663"
"","","","snow leopard","0.09090326"
"","","","Egyptian cat","0.0050750696"
"mobilenet_edgetpu_224_0.75_float","leopard","0.059","",""
"","","","leopard","0.79153204"
"","","","jaguar","0.05161378"
"","","","cheetah","0.030036334"
"","","","snow leopard","0.0026938496"
"","","","yurt","9.52048E-4"
"mobilenet_edgetpu_224_0.75_float","leopard","0.059","",""
"","","","leopard","0.8876834"
"","","","jaguar","0.039950993"
"","","","cheetah","0.025836423"
"","","","snow leopard","0.00255203"
"","","","whiptail","0.0019366739"
"mobilenet_edgetpu_224_0.75_float","leopard","0.054","",""
"","","","leopard","0.5628292"
"","","","cheetah","0.099766135"
"","","","jaguar","0.033530254"
"","","","puffer","0.00402999"
"","","","whiptail","0.0034817054"
"mobilenet_edgetpu_224_0.75_float","leopard","0.053","",""
"","","","leopard","0.3566865"
"","","","cheetah","0.31650814"
"","","","jaguar","0.059221856"
"","","","snow leopard","0.008669813"
"","","","lynx","0.0076553933"
"mobilenet_edgetpu_224_0.75_float","leopard","0.051","",""
"","","","jaguar","0.72394645"
"","","","leopard","0.1429603"
"","","","cheetah","0.056375977"
"","","","snow leopard","0.0047103283"
"","","","dalmatian","0.003488315"
"mobilenet_edgetpu_224_0.75_float","leopard","0.053","",""
"","","","leopard","0.66004956"
"","","","jaguar","0.14820533"
"","","","snow leopard","0.011741853"
"","","","cheetah","0.0048638284"
"","","","lion","0.0031004434"
"mobilenet_edgetpu_224_0.75_float","leopard","0.051","",""
"","","","cheetah","0.83575463"
"","","","leopard","0.0050114607"
"","","","lynx","0.0032730915"
"","","","jaguar","0.0025296072"
"","","","quail","0.0022657397"
"mobilenet_edgetpu_224_0.75_float","leopard","0.054","",""
"","","","leopard","0.56331086"
"","","","jaguar","0.3545896"
"","","","cheetah","0.0042770216"
"","","","lynx","0.002088044"
"","","","snow leopard","0.0018804866"
"mobilenet_edgetpu_224_0.75_float","lion","0.05","",""
"","","","lion","0.9431716"
"","","","bison","0.0038459054"
"","","","cheetah","0.0024442077"
"","","","chow","0.0023779357"
"","","","dhole","0.001905844"
"mobilenet_edgetpu_224_0.75_float","lion","0.053","",""
"","","","lion","0.26497024"
"","","","African crocodile","0.055322215"
"","","","warthog","0.04241766"
"","","","Arabian camel","0.032853264"
"","","","prairie chicken","0.03220806"
"mobilenet_edgetpu_224_0.75_float","lion","0.052","",""
"","","","lion","0.7508032"
"","","","cougar","0.08178758"
"","","","gazelle","0.014379281"
"","","","warthog","0.012524333"
"","","","impala","0.009385464"
"mobilenet_edgetpu_224_0.75_float","lion","0.052","",""
"","","","lion","0.9178606"
"","","","chow","0.005209937"
"","","","Arabian camel","0.0042487974"
"","","","ram","0.0041577904"
"","","","brown bear","0.0015248684"
"mobilenet_edgetpu_224_0.75_float","lion","0.051","",""
"","","","lion","0.88809144"
"","","","chow","0.0046803905"
"","","","bison","0.0030964047"
"","","","cheetah","0.0026986597"
"","","","dhole","0.0016434502"
"mobilenet_edgetpu_224_0.75_float","lion","0.053","",""
"","","","lion","0.7646379"
"","","","impala","0.058737203"
"","","","hartebeest","0.02246697"
"","","","Arabian camel","0.014565262"
"","","","cougar","0.011321482"
